Date,Close,LNC
29/11/2010,23.63,-0.000423101
26/11/2010,23.64,-0.008844025
24/11/2010,23.85,0.018193859
23/11/2010,23.42,-0.034413803
22/11/2010,24.24,-0.01148495
19/11/2010,24.52,-0.000815328
18/11/2010,24.54,0.026844478
17/11/2010,23.89,0.009251538
16/11/2010,23.67,-0.02214421
15/11/2010,24.2,0.012892672
12/11/2010,23.89,-0.045415864
11/11/2010,25,0.005213567
10/11/2010,24.87,0.017850373
09/11/2010,24.43,-0.020260012
08/11/2010,24.93,-0.019857682
05/11/2010,25.43,0.021061776
04/11/2010,24.9,0.024391453
03/11/2010,24.3,-0.027198754
02/11/2010,24.97,0.028434085
01/11/2010,24.27,-0.008615438
29/10/2010,24.48,-0.021419287
28/10/2010,25.01,-0.004786607
27/10/2010,25.13,-0.009505022
26/10/2010,25.37,-0.017582012
25/10/2010,25.82,-0.007331694
22/10/2010,26.01,-0.004603
21/10/2010,26.13,0.008455085
20/10/2010,25.91,0.021455865
19/10/2010,25.36,-0.024538719
18/10/2010,25.99,0.035242488
15/10/2010,25.09,-0.007148561
14/10/2010,25.27,-0.006311658
13/10/2010,25.43,0.011071683
12/10/2010,25.15,-0.011857846
11/10/2010,25.45,0.020242803
08/10/2010,24.94,0.021480056
07/10/2010,24.41,-0.013024197
06/10/2010,24.73,0.001213838
05/10/2010,24.7,0.032924785
04/10/2010,23.9,-0.00292459
01/10/2010,23.97,0.002088119
30/09/2010,23.92,-0.000835771
29/09/2010,23.94,-0.002086377
28/09/2010,23.99,0.013006267
27/09/2010,23.68,-0.01758103
24/09/2010,24.1,0.035906708
23/09/2010,23.25,-0.029245568
22/09/2010,23.94,-0.044923846
21/09/2010,25.04,-0.009934514
20/09/2010,25.29,0.029289957
17/09/2010,24.56,-0.006493529
16/09/2010,24.72,-0.025560497
15/09/2010,25.36,-0.014873073
14/09/2010,25.74,-0.008125407
13/09/2010,25.95,0.017493157
10/09/2010,25.5,0.001569859
09/09/2010,25.46,0.020234771
08/09/2010,24.95,0.001604493
07/09/2010,24.91,-0.04628277
03/09/2010,26.09,0.042676274
02/09/2010,25,0.011263192
01/09/2010,24.72,0.056159484
31/08/2010,23.37,0.020316238
30/08/2010,22.9,-0.03560316
27/08/2010,23.73,0.097757335
26/08/2010,21.52,-0.008329525
25/08/2010,21.7,0.034219416
24/08/2010,20.97,-0.015144634
23/08/2010,21.29,-0.001877054
20/08/2010,21.33,-0.011652427
19/08/2010,21.58,-0.034611834
18/08/2010,22.34,-0.005357156
17/08/2010,22.46,0.009393941
16/08/2010,22.25,-0.01958229
13/08/2010,22.69,-0.006151162
12/08/2010,22.83,-0.005242476
11/08/2010,22.95,-0.070647276
10/08/2010,24.63,-0.021687597
09/08/2010,25.17,0.019254506
06/08/2010,24.69,-0.011677201
05/08/2010,24.98,-0.013519093
04/08/2010,25.32,-0.006299233
03/08/2010,25.48,-0.037740328
02/08/2010,26.46,0.016000341
30/07/2010,26.04,0.010810916
29/07/2010,25.76,0.067026085
28/07/2010,24.09,-0.019322287
27/07/2010,24.56,-0.00851414
26/07/2010,24.77,0.006480379
23/07/2010,24.61,0.019696985
22/07/2010,24.13,0.04579011
21/07/2010,23.05,-0.000433745
20/07/2010,23.06,0.007836348
19/07/2010,22.88,0.011428696
16/07/2010,22.62,-0.05378797
15/07/2010,23.87,-0.007096669
14/07/2010,24.04,-0.058567109
13/07/2010,25.49,0.016614306
12/07/2010,25.07,-0.020138884
09/07/2010,25.58,0.025738899
08/07/2010,24.93,0.014138793
07/07/2010,24.58,0.042382745
06/07/2010,23.56,0.007669403
02/07/2010,23.38,-0.012327467
01/07/2010,23.67,-0.025856319
30/06/2010,24.29,-0.013900469
29/06/2010,24.63,-0.068261788
28/06/2010,26.37,-0.026199103
25/06/2010,27.07,0.020904083
24/06/2010,26.51,-0.020164985
23/06/2010,27.05,-0.013220905
22/06/2010,27.41,-0.008356089
21/06/2010,27.64,-0.006131669
18/06/2010,27.81,0.003241494
17/06/2010,27.72,-0.000721241
16/06/2010,27.74,-0.005034171
15/06/2010,27.88,0.017001676
14/06/2010,27.41,0.039060201
11/06/2010,26.36,0.004181721
10/06/2010,26.25,0.05239666
09/06/2010,24.91,-0.002005214
08/06/2010,24.96,0.013715423
07/06/2010,24.62,-0.027640454
04/06/2010,25.31,-0.074954258
03/06/2010,27.28,0.013284328
02/06/2010,26.92,0.048715873
01/06/2010,25.64,-0.031480527
28/05/2010,26.46,-0.035273752
27/05/2010,27.41,0.065195431
26/05/2010,25.68,0.000389484
25/05/2010,25.67,0.02724749
24/05/2010,24.98,-0.020995027
21/05/2010,25.51,-0.002740264
20/05/2010,25.58,-0.081064619
19/05/2010,27.74,-0.01146966
18/05/2010,28.06,0.002140564
17/05/2010,28,-0.000714031
14/05/2010,28.02,-0.048416212
13/05/2010,29.41,-0.010148937
12/05/2010,29.71,0.006754501
11/05/2010,29.51,0.005777416
10/05/2010,29.34,0.096537927
07/05/2010,26.64,-0.030680654
06/05/2010,27.47,-0.045195381
05/05/2010,28.74,-0.032857165
04/05/2010,29.7,-0.049271049
03/05/2010,31.2,0.019744937
30/04/2010,30.59,-0.029949107
29/04/2010,31.52,0.019866081
28/04/2010,30.9,0.008123522
27/04/2010,30.65,-0.070839995
26/04/2010,32.9,0.003349067
23/04/2010,32.79,0.017536213
22/04/2010,32.22,-0.007113065
21/04/2010,32.45,-0.008286069
20/04/2010,32.72,0.018507623
19/04/2010,32.12,0.025541354
16/04/2010,31.31,-0.029890537
15/04/2010,32.26,-0.012016783
14/04/2010,32.65,0.026378566
13/04/2010,31.8,0.001573564
12/04/2010,31.75,0.002838671
09/04/2010,31.66,-0.007551955
08/04/2010,31.9,0.017072814
07/04/2010,31.36,-0.027054182
06/04/2010,32.22,-0.002170207
05/04/2010,32.29,0.024452629
01/04/2010,31.51,0.026042301
31/03/2010,30.7,0.020402156
30/03/2010,30.08,-0.004643458
29/03/2010,30.22,0.015674825
26/03/2010,29.75,0.025878189
25/03/2010,28.99,-0.00344353
24/03/2010,29.09,0.004478905
23/03/2010,28.96,0.004845977
22/03/2010,28.82,0.002084058
19/03/2010,28.76,-0.016552102
18/03/2010,29.24,-0.016619002
17/03/2010,29.73,0.04295455
16/03/2010,28.48,0.009880109
15/03/2010,28.2,0.030239885
12/03/2010,27.36,0.001097093
11/03/2010,27.33,0.004400447
10/03/2010,27.21,0.001103144
09/03/2010,27.18,0.008869238
08/03/2010,26.94,-0.00148368
05/03/2010,26.98,0.014936797
04/03/2010,26.58,0.01173145
03/03/2010,26.27,0.006109221
02/03/2010,26.11,0.018945086
01/03/2010,25.62,0.017323268
26/02/2010,25.18,-0.003567893
25/02/2010,25.27,-0.002766253
24/02/2010,25.34,0.027607274
23/02/2010,24.65,-0.044822097
22/02/2010,25.78,0.011705167
19/02/2010,25.48,-0.009375069
18/02/2010,25.72,0.022411003
17/02/2010,25.15,0.008785999
