Date,Close,CHK
02/11/2011,28.01,0.036724723
01/11/2011,27,-0.040644201
31/10/2011,28.12,-0.056011874
28/10/2011,29.74,0.019695034
27/10/2011,29.16,0.035250553
26/10/2011,28.15,0.030294419
25/10/2011,27.31,-0.036315333
24/10/2011,28.32,0.018172601
21/10/2011,27.81,0.018508966
20/10/2011,27.3,0.007352974
19/10/2011,27.1,-0.009548365
18/10/2011,27.36,0.002195391
17/10/2011,27.3,-0.016349138
14/10/2011,27.75,0.032970019
13/10/2011,26.85,0.003731348
12/10/2011,26.75,0.00487166
11/10/2011,26.62,-0.00487166
10/10/2011,26.75,0.053755743
07/10/2011,25.35,-0.021850265
06/10/2011,25.91,0.020273599
05/10/2011,25.39,0.010691054
04/10/2011,25.12,0.047278568
03/10/2011,23.96,-0.064251543
30/09/2011,25.55,-0.047018024
29/09/2011,26.78,-0.018131857
28/09/2011,27.27,-0.014922934
27/09/2011,27.68,0.005433812
26/09/2011,27.53,0.055642502
23/09/2011,26.04,-0.039161631
22/09/2011,27.08,-0.082879267
21/09/2011,29.42,-0.033096787
20/09/2011,30.41,-0.021149316
19/09/2011,31.06,-0.024174205
16/09/2011,31.82,0.003147626
15/09/2011,31.72,0.006325132
14/09/2011,31.52,0.00095223
13/09/2011,31.49,0.02345489
12/09/2011,30.76,0.012430647
09/09/2011,30.38,-0.050700624
08/09/2011,31.96,0.014180165
07/09/2011,31.51,0.018901732
06/09/2011,30.92,-0.037764284
02/09/2011,32.11,-0.030667843
01/09/2011,33.11,0.021985618
31/08/2011,32.39,-0.001234187
30/08/2011,32.43,0.020561472
29/08/2011,31.77,0.040140242
26/08/2011,30.52,0.032298463
25/08/2011,29.55,-0.021095709
24/08/2011,30.18,0.017717328
23/08/2011,29.65,0.042369003
22/08/2011,28.42,-0.030835632
19/08/2011,29.31,-0.017250555
18/08/2011,29.82,-0.061137372
17/08/2011,31.7,0.001262626
16/08/2011,31.66,-0.01970353
15/08/2011,32.29,0.031139487
12/08/2011,31.3,0.013185591
11/08/2011,30.89,0.070751805
10/08/2011,28.78,-0.011744522
09/08/2011,29.12,0.06820825
08/08/2011,27.2,-0.120394003
05/08/2011,30.68,-0.021603291
04/08/2011,31.35,-0.087888185
03/08/2011,34.23,0.002339867
02/08/2011,34.15,-0.005839433
01/08/2011,34.35,0
29/07/2011,34.35,0.027148318
28/07/2011,33.43,0.0008978
27/07/2011,33.4,-0.021034696
26/07/2011,34.11,0.00706093
25/07/2011,33.87,-0.015236158
22/07/2011,34.39,0.011993708
21/07/2011,33.98,0.007680983
20/07/2011,33.72,0.001780944
19/07/2011,33.66,0.023141529
18/07/2011,32.89,-0.002126045
15/07/2011,32.96,0.08712171
14/07/2011,30.21,0.008977616
13/07/2011,29.94,0.005694204
12/07/2011,29.77,0.000672043
11/07/2011,29.75,-0.027517069
08/07/2011,30.58,0.002291702
07/07/2011,30.51,0.010875045
06/07/2011,30.18,-0.003638172
05/07/2011,30.29,0.006292453
01/07/2011,30.1,0.013714883
30/06/2011,29.69,0.021791805
29/06/2011,29.05,0.01876358
28/06/2011,28.51,0.018050393
27/06/2011,28,-0.000357079
24/06/2011,28.01,-0.033699223
23/06/2011,28.97,-0.000690131
22/06/2011,28.99,0.006922838
21/06/2011,28.79,0.024258528
20/06/2011,28.1,0.002851035
17/06/2011,28.02,-0.005339041
16/06/2011,28.17,-0.020727951
15/06/2011,28.76,-0.007620404
14/06/2011,28.98,0.023037668
13/06/2011,28.32,-0.031969366
10/06/2011,29.24,-0.017291497
09/06/2011,29.75,0.005392666
08/06/2011,29.59,-0.004720171
07/06/2011,29.73,0.001683219
06/06/2011,29.68,-0.028236388
03/06/2011,30.53,-0.000654879
02/06/2011,30.55,0.005251079
01/06/2011,30.39,-0.03078163
31/05/2011,31.34,0.007365926
27/05/2011,31.11,0.000964785
26/05/2011,31.08,0.002577321
25/05/2011,31,0.002583981
24/05/2011,30.92,0.023561299
23/05/2011,30.2,-0.013811466
20/05/2011,30.62,0.023460518
19/05/2011,29.91,-0.001336452
18/05/2011,29.95,0.029134852
17/05/2011,29.09,-0.018055336
16/05/2011,29.62,-0.005387218
13/05/2011,29.78,-0.023233704
12/05/2011,30.48,-0.014332493
11/05/2011,30.92,-0.022386608
10/05/2011,31.62,0.010171734
09/05/2011,31.3,0.011245098
06/05/2011,30.95,0.002912152
05/05/2011,30.86,0.004221471
04/05/2011,30.73,-0.019336729
03/05/2011,31.33,-0.058876977
02/05/2011,33.23,-0.013154151
29/04/2011,33.67,0.013455129
28/04/2011,33.22,0.003014775
27/04/2011,33.12,0.000906208
26/04/2011,33.09,0.017683388
25/04/2011,32.51,-0.005521486
21/04/2011,32.69,0.014792257
20/04/2011,32.21,0.007166256
19/04/2011,31.98,0
18/04/2011,31.98,-0.023181381
15/04/2011,32.73,0.002447233
14/04/2011,32.65,0.007686433
13/04/2011,32.4,0.014612416
12/04/2011,31.93,-0.043211871
11/04/2011,33.34,-0.02019071
08/04/2011,34.02,-0.01372084
07/04/2011,34.49,0.023765238
06/04/2011,33.68,-0.003852427
05/04/2011,33.81,-0.000591366
04/04/2011,33.83,0.009802544
01/04/2011,33.5,-0.000596837
31/03/2011,33.52,-0.023877332
30/03/2011,34.33,0.028362315
29/03/2011,33.37,0.0093332
28/03/2011,33.06,-0.035070459
25/03/2011,34.24,0.010569681
24/03/2011,33.88,0.004437221
23/03/2011,33.73,0.000889812
22/03/2011,33.7,-0.00148258
21/03/2011,33.75,0.011323125
18/03/2011,33.37,-0.018703232
17/03/2011,34,-0.018937201
16/03/2011,34.65,0.030474084
15/03/2011,33.61,0.00148876
14/03/2011,33.56,0.022601535
11/03/2011,32.81,0.021877317
10/03/2011,32.1,-0.044180833
09/03/2011,33.55,0.028724575
08/03/2011,32.6,-0.025739498
07/03/2011,33.45,-0.003581024
04/03/2011,33.57,-0.001785715
03/03/2011,33.63,-0.00770146
02/03/2011,33.89,0.005622148
01/03/2011,33.7,-0.05512866
28/02/2011,35.61,0.006762494
25/02/2011,35.37,0.029261985
24/02/2011,34.35,0.000582411
23/02/2011,34.33,0.069971253
22/02/2011,32.01,0.05061939
18/02/2011,30.43,-0.001969797
17/02/2011,30.49,-0.006212215
16/02/2011,30.68,-0.001302932
15/02/2011,30.72,-0.026025565
14/02/2011,31.53,0.022126925
11/02/2011,30.84,0.000648719
10/02/2011,30.82,-0.001621009
09/02/2011,30.87,-0.021471743
08/02/2011,31.54,0.00859741
