Date,Close,THC
28/07/2011,5.7,0.001755927
27/07/2011,5.69,-0.027731413
26/07/2011,5.85,-0.028645598
25/07/2011,6.02,-0.039092926
22/07/2011,6.26,-0.006369448
21/07/2011,6.3,0.033901552
20/07/2011,6.09,-0.006546668
19/07/2011,6.13,0.019770001
18/07/2011,6.01,-0.001662511
15/07/2011,6.02,0.00332779
14/07/2011,6,-0.014888612
13/07/2011,6.09,0.011560822
12/07/2011,6.02,-0.008271346
11/07/2011,6.07,-0.037191028
08/07/2011,6.3,-0.025079684
07/07/2011,6.46,-0.003091193
06/07/2011,6.48,0
05/07/2011,6.48,-0.004618946
01/07/2011,6.51,0.042359274
30/06/2011,6.24,0.008045096
29/06/2011,6.19,0
28/06/2011,6.19,0.022876815
27/06/2011,6.05,0.00996686
24/06/2011,5.99,-0.048869659
23/06/2011,6.29,0.00159109
22/06/2011,6.28,-0.02048929
21/06/2011,6.41,-0.004669269
20/06/2011,6.44,0.004669269
17/06/2011,6.41,0.028482938
16/06/2011,6.23,0.030972321
15/06/2011,6.04,-0.014790738
14/06/2011,6.13,0.026447823
13/06/2011,5.97,0.010101096
10/06/2011,5.91,-0.034916265
09/06/2011,6.12,0.011503824
08/06/2011,6.05,-0.01639381
07/06/2011,6.15,-0.001624696
06/06/2011,6.16,-0.014504686
03/06/2011,6.25,-0.015873349
02/06/2011,6.35,0.00790518
01/06/2011,6.3,-0.012618464
31/05/2011,6.38,-0.003129893
27/05/2011,6.4,0
26/05/2011,6.4,0.012578782
25/05/2011,6.32,0.007942854
24/05/2011,6.27,-0.001593626
23/05/2011,6.28,0
20/05/2011,6.28,-0.022048137
19/05/2011,6.42,0
18/05/2011,6.42,0.018868484
17/05/2011,6.3,-0.003169575
16/05/2011,6.32,-0.00315956
13/05/2011,6.34,-0.018750549
12/05/2011,6.46,-0.004633213
11/05/2011,6.49,-0.021342273
10/05/2011,6.63,0.016730428
09/05/2011,6.52,-0.001532567
06/05/2011,6.53,0.009230835
05/05/2011,6.47,0.031399754
04/05/2011,6.27,-0.048258391
