Date,Close,ACN
22/03/2012,63.52,-0.003614367
21/03/2012,63.75,0.010565422
20/03/2012,63.08,-0.005217816
19/03/2012,63.41,-0.003306309
16/03/2012,63.62,-0.000157171
15/03/2012,63.63,0.016160047
14/03/2012,62.61,0.003199491
13/03/2012,62.41,0.020395657
12/03/2012,61.15,0.004753718
09/03/2012,60.86,0.009741677
08/03/2012,60.27,0.011011122
07/03/2012,59.61,0.002519528
06/03/2012,59.46,-0.023600896
05/03/2012,60.88,0.021249139
02/03/2012,59.6,-0.001341382
01/03/2012,59.68,0.0023486
29/02/2012,59.54,-0.003688185
28/02/2012,59.76,0.001674762
27/02/2012,59.66,0.000167631
24/02/2012,59.65,0.004031586
23/02/2012,59.41,0.014923119
22/02/2012,58.53,0.006685548
21/02/2012,58.14,-0.004975561
17/02/2012,58.43,-0.000342231
16/02/2012,58.45,0.009799786
15/02/2012,57.88,0.007282848
14/02/2012,57.46,0.000870549
13/02/2012,57.41,0.007869237
10/02/2012,56.96,-0.007869237
09/02/2012,57.41,0.00593992
08/02/2012,57.07,-0.015474533
07/02/2012,57.96,0.005189425
06/02/2012,57.66,-0.011209913
03/02/2012,58.31,0.009303995
02/02/2012,57.77,-0.011188687
01/02/2012,58.42,0.018659837
31/01/2012,57.34,0.004895115
30/01/2012,57.06,0.01127964
27/01/2012,56.42,-0.008823068
26/01/2012,56.92,-0.004732285
25/01/2012,57.19,0.009840178
24/01/2012,56.63,0.002652287
23/01/2012,56.48,0.011933528
20/01/2012,55.81,0.018262871
19/01/2012,54.8,-0.002733487
18/01/2012,54.95,0.02692896
17/01/2012,53.49,0.004496916
13/01/2012,53.25,-0.012874513
12/01/2012,53.94,0.005018132
11/01/2012,53.67,0.019567887
10/01/2012,52.63,0.017055123
09/01/2012,51.74,-0.001737955
06/01/2012,51.83,-0.00173494
05/01/2012,51.92,-0.019266213
04/01/2012,52.93,-0.000377786
03/01/2012,52.95,-0.005274075
30/12/2011,53.23,-0.011394538
29/12/2011,53.84,0.018369776
28/12/2011,52.86,-0.001323377
27/12/2011,52.93,0.000756001
23/12/2011,52.89,0.005878466
22/12/2011,52.58,0.010131024
21/12/2011,52.05,-0.041213849
20/12/2011,54.24,0.01373699
19/12/2011,53.5,-0.01207632
16/12/2011,54.15,-0.035912456
15/12/2011,56.13,0.001783167
14/12/2011,56.03,-0.033348124
13/12/2011,57.93,-0.004993553
12/12/2011,58.22,-0.008381132
09/12/2011,58.71,0.0353651
08/12/2011,56.67,-0.032465311
07/12/2011,58.54,-0.010704375
06/12/2011,59.17,-0.002531861
05/12/2011,59.32,0.015973152
02/12/2011,58.38,0.00704773
01/12/2011,57.97,0.00069025
30/11/2011,57.93,0.041591898
29/11/2011,55.57,0.005051427
28/11/2011,55.29,0.029179059
25/11/2011,53.7,0.001304389
23/11/2011,53.63,-0.022128876
22/11/2011,54.83,-0.00418601
21/11/2011,55.06,-0.000726216
18/11/2011,55.1,-0.010830431
17/11/2011,55.7,-0.021842296
16/11/2011,56.93,-0.017412942
15/11/2011,57.93,0.007102672
14/11/2011,57.52,-0.024896127
11/11/2011,58.97,0.033977572
10/11/2011,57,0.005100706
09/11/2011,56.71,-0.037720735
08/11/2011,58.89,0.015228286
07/11/2011,58,-0.004129393
04/11/2011,58.24,-0.016686919
03/11/2011,59.22,0.012574507
02/11/2011,58.48,0.017595762
01/11/2011,57.46,-0.04757948
31/10/2011,60.26,-0.024587372
28/10/2011,61.76,0.009926044
27/10/2011,61.15,0.049272701
26/10/2011,58.21,0.000687403
25/10/2011,58.17,-0.003432301
24/10/2011,58.37,0.004980689
21/10/2011,58.08,0.017192401
20/10/2011,57.09,-0.00436949
19/10/2011,57.34,-0.002264612
18/10/2011,57.47,-0.004687102
17/10/2011,57.74,-0.018191681
14/10/2011,58.8,0.027937668
13/10/2011,57.18,-0.004188488
12/10/2011,57.42,0.006990591
11/10/2011,57.02,-0.006467989
10/10/2011,57.39,0.025947974
07/10/2011,55.92,0.011149189
06/10/2011,55.3,0.008170722
05/10/2011,54.85,0.010814879
04/10/2011,54.26,0.049878113
03/10/2011,51.62,-0.020326683
30/09/2011,52.68,-0.032863301
29/09/2011,54.44,0.011268245
28/09/2011,53.83,0.003349463
27/09/2011,53.65,0.032777397
26/09/2011,51.92,0.029514504
23/09/2011,50.41,0.000992359
22/09/2011,50.36,-0.058426253
21/09/2011,53.39,-0.019108271
20/09/2011,54.42,-0.003302149
19/09/2011,54.6,-0.007662873
16/09/2011,55.02,0.037027555
15/09/2011,53.02,0.033563415
14/09/2011,51.27,0.008029026
13/09/2011,50.86,0.016653835
12/09/2011,50.02,0.004006416
09/09/2011,49.82,-0.046091107
08/09/2011,52.17,-0.000574878
07/09/2011,52.2,0.028762185
06/09/2011,50.72,-0.014678804
02/09/2011,51.47,-0.027404225
01/09/2011,52.9,-0.012959145
31/08/2011,53.59,-0.008176964
30/08/2011,54.03,0.020002536
29/08/2011,52.96,0.026015239
26/08/2011,51.6,0.016610055
25/08/2011,50.75,-0.004521781
24/08/2011,50.98,0.010054299
23/08/2011,50.47,0.039815302
22/08/2011,48.5,0.022098043
19/08/2011,47.44,-0.029493311
18/08/2011,48.86,-0.109608541
17/08/2011,54.52,-0.005487484
16/08/2011,54.82,-0.010885449
15/08/2011,55.42,0.014723523
12/08/2011,54.61,0.01123297
11/08/2011,54,0.041786966
10/08/2011,51.79,-0.058134102
09/08/2011,54.89,0.032024949
08/08/2011,53.16,-0.073422474
05/08/2011,57.21,0.004028379
04/08/2011,56.98,-0.044955245
03/08/2011,59.6,0.027040165
02/08/2011,58.01,-0.016243838
01/08/2011,58.96,-0.003048267
29/07/2011,59.14,-0.009256988
28/07/2011,59.69,-0.001004689
27/07/2011,59.75,-0.026262968
26/07/2011,61.34,0.00261182
25/07/2011,61.18,-0.001633187
22/07/2011,61.28,-0.007478494
21/07/2011,61.74,0.005685064
20/07/2011,61.39,-0.003414915
19/07/2011,61.6,0.026650697
18/07/2011,59.98,-0.011932525
15/07/2011,60.7,-0.00213939
14/07/2011,60.83,0.002633746
13/07/2011,60.67,-0.006243859
12/07/2011,61.05,-0.007181359
11/07/2011,61.49,-0.031062376
08/07/2011,63.43,-0.000157642
07/07/2011,63.44,0.021348588
06/07/2011,62.1,0.005652013
05/07/2011,61.75,0.014353533
01/07/2011,60.87,0.007420267
30/06/2011,60.42,0.00847674
29/06/2011,59.91,0.004349288
28/06/2011,59.65,0.031678398
27/06/2011,57.79,0.013413667
24/06/2011,57.02,0.023601486
23/06/2011,55.69,0.007932257
22/06/2011,55.25,0.008360645
21/06/2011,54.79,0.015264664
20/06/2011,53.96,0.00018534
17/06/2011,53.95,-0.000555916
16/06/2011,53.98,-0.026146475
15/06/2011,55.41,-0.030394235
14/06/2011,57.12,0.021053409
13/06/2011,55.93,0.006997427
10/06/2011,55.54,-0.014478759
09/06/2011,56.35,0.010884218
08/06/2011,55.74,-0.009463511
07/06/2011,56.27,0.008746151
06/06/2011,55.78,-0.000716846
03/06/2011,55.82,-0.017580138
02/06/2011,56.81,-0.002987963
01/06/2011,56.98,-0.007169743
31/05/2011,57.39,0.008399
27/05/2011,56.91,-0.002106373
26/05/2011,57.03,0.007745154
25/05/2011,56.59,0.003540453
24/05/2011,56.39,0.000887075
23/05/2011,56.34,-0.018987912
20/05/2011,57.42,0.008394593
19/05/2011,56.94,0.000351309
18/05/2011,56.92,0.003167344
17/05/2011,56.74,0.010452748
16/05/2011,56.15,0.007328659
13/05/2011,55.74,-0.015310963
12/05/2011,56.6,0.005669753
11/05/2011,56.28,-0.012010035
10/05/2011,56.96,0.021651245
09/05/2011,55.74,0.010641276
06/05/2011,55.15,0.003997098
05/05/2011,54.93,-0.017683608
04/05/2011,55.91,-0.00071518
03/05/2011,55.95,-0.037018524
02/05/2011,58.06,0.016147586
29/04/2011,57.13,0.002453559
28/04/2011,56.99,0.002107853
27/04/2011,56.87,0.002993751
26/04/2011,56.7,0.002825858
25/04/2011,56.54,-0.004764014
21/04/2011,56.81,0.013468217
20/04/2011,56.05,0.011664556
19/04/2011,55.4,0.016562395
18/04/2011,54.49,-0.003297914
15/04/2011,54.67,-0.016148405
14/04/2011,55.56,-0.017661685
13/04/2011,56.55,0.012634744
12/04/2011,55.84,-0.002861232
11/04/2011,56,0.016201975
08/04/2011,55.1,0.004729861
07/04/2011,54.84,0.002921843
06/04/2011,54.68,-0.004561635
05/04/2011,54.93,-0.002545456
04/04/2011,55.07,0.003638352
01/04/2011,54.87,-0.001820831
31/03/2011,54.97,0.003279886
30/03/2011,54.79,0.009536107
29/03/2011,54.27,0.012795724
28/03/2011,53.58,-0.013164184
25/03/2011,54.29,0.043865856
24/03/2011,51.96,0.025140172
23/03/2011,50.67,0.0063354
22/03/2011,50.35,0
21/03/2011,50.35,0.001988072
18/03/2011,50.25,0.024782169
17/03/2011,49.02,0.000816327
16/03/2011,48.98,-0.021010874
15/03/2011,50.02,-0.028187537
14/03/2011,51.45,-0.002523538
11/03/2011,51.58,0.003690399
10/03/2011,51.39,-0.012569053
09/03/2011,52.04,-0.004218606
08/03/2011,52.26,-0.002484473
07/03/2011,52.39,-0.004950505
04/03/2011,52.65,-0.007191553
03/03/2011,53.03,0.036095299
02/03/2011,51.15,-0.000195484
01/03/2011,51.16,-0.006235406
28/02/2011,51.48,-0.013505897
25/02/2011,52.18,0.008274848
24/02/2011,51.75,0.009513711
23/02/2011,51.26,-0.021423187
22/02/2011,52.37,-0.02340171
18/02/2011,53.61,-0.007988895
17/02/2011,54.04,0.011726519
16/02/2011,53.41,0.026946602
15/02/2011,51.99,-0.00804602
14/02/2011,52.41,0.000190821
11/02/2011,52.4,-0.011196625
10/02/2011,52.99,0.005487761
09/02/2011,52.7,0.001139169
08/02/2011,52.64,-0.000569746
07/02/2011,52.67,0.002280936
04/02/2011,52.55,-0.004367234
03/02/2011,52.78,0.004176957
02/02/2011,52.56,0.003621466
01/02/2011,52.37,0.017334795
31/01/2011,51.47,-0.000970968
28/01/2011,51.52,-0.016172859
27/01/2011,52.36,0.000191004
26/01/2011,52.35,0.012107383
25/01/2011,51.72,0.00484544
24/01/2011,51.47,0.008389475
21/01/2011,51.04,-0.001957331
20/01/2011,51.14,0.018551943
