Date,Close,PFE
05/04/2012,22.34,-0.002235637
04/04/2012,22.39,-0.006677078
03/04/2012,22.54,-0.002215822
02/04/2012,22.59,-0.002652521
30/03/2012,22.65,0.010206434
29/03/2012,22.42,0.00044613
28/03/2012,22.41,-0.004008021
27/03/2012,22.5,0.015226447
26/03/2012,22.16,0.015461881
23/03/2012,21.82,0.004133186
22/03/2012,21.73,-0.001839081
21/03/2012,21.77,-0.001377095
20/03/2012,21.8,-0.003663008
19/03/2012,21.88,-0.002738477
16/03/2012,21.94,0.001368301
15/03/2012,21.91,-0.000912409
14/03/2012,21.93,-0.003641333
13/03/2012,22.01,0.021585224
12/03/2012,21.54,0.002789402
09/03/2012,21.48,0.000931532
08/03/2012,21.46,0.004202668
07/03/2012,21.37,0.00469044
06/03/2012,21.27,-0.010755306
05/03/2012,21.5,0.004194833
02/03/2012,21.41,-0.003729608
01/03/2012,21.49,0.016893879
29/02/2012,21.13,-0.004250302
28/02/2012,21.22,-0.00188324
27/02/2012,21.26,0.003770033
24/02/2012,21.18,0.00710735
23/02/2012,21.03,-0.015570024
22/02/2012,21.36,0.006575881
21/02/2012,21.22,0.001414761
17/02/2012,21.19,-0.00658516
16/02/2012,21.33,0.010367671
15/02/2012,21.11,-0.010367671
14/02/2012,21.33,0.00140746
13/02/2012,21.3,0.011806513
10/02/2012,21.05,-0.00426642
09/02/2012,21.14,0.006168466
08/02/2012,21.01,-0.001902045
07/02/2012,21.05,0.004761914
06/02/2012,20.95,-0.011862535
03/02/2012,21.2,0.00425432
02/02/2012,21.11,-0.009429584
01/02/2012,21.31,-0.004214476
31/01/2012,21.4,-0.008376038
30/01/2012,21.58,0.00464469
27/01/2012,21.48,-0.00695897
26/01/2012,21.63,-0.004152255
25/01/2012,21.72,0.002766253
24/01/2012,21.66,-0.002305742
23/01/2012,21.71,-0.008713653
20/01/2012,21.9,0.002743486
19/01/2012,21.84,-0.005934736
18/01/2012,21.97,0.001366432
17/01/2012,21.94,0.004568304
13/01/2012,21.84,-0.006844654
12/01/2012,21.99,0.004101168
11/01/2012,21.9,-0.001824818
10/01/2012,21.94,0.005484474
09/01/2012,21.82,0.01152352
06/01/2012,21.57,-0.001389854
05/01/2012,21.6,-0.007839561
04/01/2012,21.77,-0.009145011
03/01/2012,21.97,0.015134432
30/12/2011,21.64,-0.00322953
29/12/2011,21.71,0.008325673
28/12/2011,21.53,-0.011085564
27/12/2011,21.77,-0.002752295
23/12/2011,21.83,0.009203931
