Date,Close,FLIR
29/07/2011,27.46,-0.003272135
28/07/2011,27.55,-0.004707595
27/07/2011,27.68,-0.016837224
26/07/2011,28.15,-0.009545768
25/07/2011,28.42,-0.013629426
22/07/2011,28.81,0.002780676
21/07/2011,28.73,0.015080068
20/07/2011,28.3,-0.018554707
19/07/2011,28.83,0.00173581
18/07/2011,28.78,-0.004852696
15/07/2011,28.92,-0.104634111
14/07/2011,32.11,-0.016983579
13/07/2011,32.66,-0.000306138
12/07/2011,32.67,-0.01609265
11/07/2011,33.2,-0.030260393
08/07/2011,34.22,-0.013352883
07/07/2011,34.68,0.019802627
06/07/2011,34,-0.001175779
05/07/2011,34.04,-0.00468934
01/07/2011,34.2,0.014431115
30/06/2011,33.71,0.026451798
29/06/2011,32.83,0.006723742
28/06/2011,32.61,0.014517629
27/06/2011,32.14,0.003428397
24/06/2011,32.03,-0.016718656
23/06/2011,32.57,-0.007036896
22/06/2011,32.8,-0.002436055
21/06/2011,32.88,-0.002430135
20/06/2011,32.96,-0.005748012
17/06/2011,33.15,-0.002109388
16/06/2011,33.22,0.003618822
15/06/2011,33.1,-0.018557851
14/06/2011,33.72,0.015842507
13/06/2011,33.19,-0.001806141
10/06/2011,33.25,-0.012255422
09/06/2011,33.66,0.001189061
08/06/2011,33.62,-0.000297398
07/06/2011,33.63,-0.014172071
06/06/2011,34.11,-0.009047194
03/06/2011,34.42,-0.020702292
02/06/2011,35.14,0.001138952
01/06/2011,35.1,-0.029475818
31/05/2011,36.15,0.01758103
27/05/2011,35.52,0.007914117
26/05/2011,35.24,0.004835737
25/05/2011,35.07,0.001426737
24/05/2011,35.02,-0.019511435
23/05/2011,35.71,-0.025436815
20/05/2011,36.63,-0.011130833
19/05/2011,37.04,0.015508405
18/05/2011,36.47,0.01102851
17/05/2011,36.07,0.001387155
16/05/2011,36.02,-0.002495496
13/05/2011,36.11,-0.007449338
12/05/2011,36.38,0.023079017
11/05/2011,35.55,0.000562746
10/05/2011,35.53,0.020760023
09/05/2011,34.8,0.004897028
06/05/2011,34.63,0.007827261
05/05/2011,34.36,-0.003486349
04/05/2011,34.48,-0.021234657
03/05/2011,35.22,-0.000851426
02/05/2011,35.25,0.000851426
29/04/2011,35.22,0.002558637
28/04/2011,35.13,-0.008503453
27/04/2011,35.43,0.016505782
26/04/2011,34.85,0.019119934
25/04/2011,34.19,0
21/04/2011,34.19,0.001170618
20/04/2011,34.15,0.029418256
19/04/2011,33.16,0.002113208
18/04/2011,33.09,-0.012911154
15/04/2011,33.52,0.011703059
14/04/2011,33.13,-0.006618556
13/04/2011,33.35,0.003303802
12/04/2011,33.24,-0.009282893
