Date,Close,PSA
22/06/2011,111.69,-0.005802811
21/06/2011,112.34,0.001336125
20/06/2011,112.19,0.003750674
17/06/2011,111.77,0.009619349
16/06/2011,110.7,0.008983319
15/06/2011,109.71,-0.019854456
14/06/2011,111.91,0.009336633
13/06/2011,110.87,-0.012102887
10/06/2011,112.22,-0.024383938
09/06/2011,114.99,-0.010725819
08/06/2011,116.23,0.004743228
07/06/2011,115.68,0.010864476
06/06/2011,114.43,-0.012937016
03/06/2011,115.92,0.007446567
02/06/2011,115.06,-0.001389613
01/06/2011,115.22,-0.026718493
31/05/2011,118.34,0.0202303
27/05/2011,115.97,0.00328209
26/05/2011,115.59,0.010610641
25/05/2011,114.37,0.004732699
24/05/2011,113.83,0.000878889
23/05/2011,113.73,-0.02045239
20/05/2011,116.08,-0.010540395
19/05/2011,117.31,-0.003234045
18/05/2011,117.69,0.005538292
17/05/2011,117.04,0.000940292
16/05/2011,116.93,0.005144485
13/05/2011,116.33,-0.01026264
12/05/2011,117.53,-0.013689583
11/05/2011,119.15,-0.005941191
10/05/2011,119.86,0.018695281
09/05/2011,117.64,0.013780335
06/05/2011,116.03,0.000603474
05/05/2011,115.96,-0.003357586
04/05/2011,116.35,0.000343849
03/05/2011,116.31,-0.005059828
02/05/2011,116.9,-0.003501135
29/04/2011,117.31,-0.011442257
28/04/2011,118.66,0.017684528
27/04/2011,116.58,0.009740197
26/04/2011,115.45,0.013692273
25/04/2011,113.88,0.013971401
21/04/2011,112.3,-0.000445137
20/04/2011,112.35,0.004996887
19/04/2011,111.79,0.01088287
18/04/2011,110.58,-0.008016255
15/04/2011,111.47,0.016462022
14/04/2011,109.65,0.017294148
13/04/2011,107.77,-0.00379718
12/04/2011,108.18,-0.005071239
11/04/2011,108.73,0.002117572
08/04/2011,108.5,-0.013730193
07/04/2011,110,-0.006975614
06/04/2011,110.77,-0.00378447
05/04/2011,111.19,-0.004844797
04/04/2011,111.73,0.006555045
01/04/2011,111,0.00081114
31/03/2011,110.91,0.005515135
30/03/2011,110.3,0.011305737
29/03/2011,109.06,0.0110641
28/03/2011,107.86,-0.001759993
25/03/2011,108.05,0.006127015
24/03/2011,107.39,0.002237346
23/03/2011,107.15,-0.008734492
22/03/2011,108.09,-0.010399983
21/03/2011,109.22,0.014757693
18/03/2011,107.62,-0.002691042
17/03/2011,107.91,0.010620558
16/03/2011,106.77,-0.020579147
