Date,Close,PCL
30/12/2011,36.56,-0.013313605
29/12/2011,37.05,0.011673812
28/12/2011,36.62,-0.007345972
27/12/2011,36.89,-0.000271039
23/12/2011,36.9,0.010625355
22/12/2011,36.51,0.0118475
21/12/2011,36.08,0.00807017
20/12/2011,35.79,0.028051138
19/12/2011,34.8,-0.012848142
16/12/2011,35.25,-0.002832863
15/12/2011,35.35,0.014245255
14/12/2011,34.85,0.004601676
13/12/2011,34.69,-0.01573034
12/12/2011,35.24,-0.021059321
09/12/2011,35.99,0.019641484
08/12/2011,35.29,-0.032067435
07/12/2011,36.44,0.009097237
06/12/2011,36.11,-0.00552335
05/12/2011,36.31,-0.001651074
02/12/2011,36.37,-0.004115797
01/12/2011,36.52,-0.008724156
30/11/2011,36.84,0.046390765
29/11/2011,35.17,0
28/11/2011,35.17,0.015184363
25/11/2011,34.64,0.009572227
23/11/2011,34.31,-0.019053694
22/11/2011,34.97,-0.008542193
21/11/2011,35.27,-0.024644204
18/11/2011,36.15,0.006104347
17/11/2011,35.93,-0.009142604
16/11/2011,36.26,0.001103753
15/11/2011,36.22,0.002764724
14/11/2011,36.12,-0.018379341
11/11/2011,36.79,0.017549121
10/11/2011,36.15,-0.012371292
09/11/2011,36.6,-0.028550283
08/11/2011,37.66,0.012289762
07/11/2011,37.2,-0.001879952
04/11/2011,37.27,-0.006152219
03/11/2011,37.5,0.016400421
02/11/2011,36.89,0.007072935
01/11/2011,36.63,-0.027730946
31/10/2011,37.66,-0.021280194
28/10/2011,38.47,0.00495115
27/10/2011,38.28,0.029963795
26/10/2011,37.15,0.005939542
25/10/2011,36.93,0.007337986
24/10/2011,36.66,0.016779379
21/10/2011,36.05,0.023292761
20/10/2011,35.22,0.004553224
19/10/2011,35.06,-0.014722803
18/10/2011,35.58,0.015578845
17/10/2011,35.03,-0.020904716
14/10/2011,35.77,0.020904716
13/10/2011,35.03,-0.021743056
12/10/2011,35.8,0.001677384
11/10/2011,35.74,-0.016648553
10/10/2011,36.34,0.044164117
07/10/2011,34.77,-0.023590692
06/10/2011,35.6,0.013574869
05/10/2011,35.12,-0.002843334
04/10/2011,35.22,0.042633686
03/10/2011,33.75,-0.028047413
30/09/2011,34.71,-0.025317808
29/09/2011,35.6,0.025029748
28/09/2011,34.72,-0.020525236
27/09/2011,35.44,0.003958162
26/09/2011,35.3,0.01340388
23/09/2011,34.83,0.000861698
22/09/2011,34.8,-0.018505866
21/09/2011,35.45,-0.035198313
20/09/2011,36.72,0.001908137
19/09/2011,36.65,-0.018383865
16/09/2011,37.33,0.010502318
15/09/2011,36.94,0.01253081
14/09/2011,36.48,0.024418527
13/09/2011,35.6,0.005916344
12/09/2011,35.39,-0.002539863
09/09/2011,35.48,-0.026148917
08/09/2011,36.42,-0.008475786
07/09/2011,36.73,0.032372449
06/09/2011,35.56,-0.007284986
02/09/2011,35.82,-0.031059251
01/09/2011,36.95,-0.027230727
31/08/2011,37.97,0.01192225
30/08/2011,37.52,0.002401602
29/08/2011,37.43,0.029553459
26/08/2011,36.34,0.02226024
25/08/2011,35.54,-0.017018126
24/08/2011,36.15,0.011966193
23/08/2011,35.72,0.026380767
22/08/2011,34.79,0.004898439
19/08/2011,34.62,-0.01034492
18/08/2011,34.98,-0.037592084
17/08/2011,36.32,0.004415018
16/08/2011,36.16,-0.01536803
15/08/2011,36.72,0.021192482
12/08/2011,35.95,-0.028248142
11/08/2011,36.98,0.047911697
