Date,Close,CMA
08/09/2010,36.6,0.014586745
07/09/2010,36.07,-0.023562734
03/09/2010,36.93,0.016655675
02/09/2010,36.32,0.021991144
01/09/2010,35.53,0.03203019
31/08/2010,34.41,0.028594432
30/08/2010,33.44,-0.018370887
27/08/2010,34.06,0.022266023
26/08/2010,33.31,-0.015194691
25/08/2010,33.82,-0.011173301
24/08/2010,34.2,-0.024264622
23/08/2010,35.04,-0.008525201
20/08/2010,35.34,-0.005080451
19/08/2010,35.52,-0.024198094
18/08/2010,36.39,0.001650165
17/08/2010,36.33,0.008847169
16/08/2010,36.01,0.003895386
13/08/2010,35.87,-0.01053809
12/08/2010,36.25,0
11/08/2010,36.25,-0.036564669
10/08/2010,37.6,0.007474674
09/08/2010,37.32,0.004296462
06/08/2010,37.16,-0.028126025
05/08/2010,38.22,-0.015834205
04/08/2010,38.83,-0.0107583
03/08/2010,39.25,-0.003814372
02/08/2010,39.4,0.026750566
30/07/2010,38.36,-0.011147231
29/07/2010,38.79,-0.004372997
28/07/2010,38.96,-0.005120339
27/07/2010,39.16,0.012074649
26/07/2010,38.69,0.024860629
23/07/2010,37.74,0.010655402
22/07/2010,37.34,0.030453686
21/07/2010,36.22,-0.016158095
20/07/2010,36.81,0.016434224
19/07/2010,36.21,0.001105278
16/07/2010,36.17,-0.069932435
15/07/2010,38.79,-0.009748666
14/07/2010,39.17,-0.022966309
13/07/2010,40.08,0.029112295
12/07/2010,38.93,-0.005635261
09/07/2010,39.15,0.025088604
08/07/2010,38.18,-0.006786766
07/07/2010,38.44,0.064469151
06/07/2010,36.04,0.021313202
02/07/2010,35.28,-0.031801843
01/07/2010,36.42,-0.011194656
30/06/2010,36.83,-0.011339214
29/06/2010,37.25,-0.035082063
28/06/2010,38.58,0.003895603
25/06/2010,38.43,0.041711452
24/06/2010,36.86,-0.02518215
23/06/2010,37.8,-0.013401856
22/06/2010,38.31,-0.018619622
21/06/2010,39.03,-0.00485624
18/06/2010,39.22,0.021389812
17/06/2010,38.39,-0.004418461
16/06/2010,38.56,-0.004915286
15/06/2010,38.75,0.028532233
14/06/2010,37.66,0.005858872
11/06/2010,37.44,-0.007450806
10/06/2010,37.72,0.029869031
09/06/2010,36.61,-0.00408887
08/06/2010,36.76,0.022559416
07/06/2010,35.94,-0.0085885
04/06/2010,36.25,-0.046883586
03/06/2010,37.99,-0.015151805
02/06/2010,38.57,0.034554407
01/06/2010,37.26,-0.022293917
28/05/2010,38.1,-0.025396545
27/05/2010,39.08,0.028551122
26/05/2010,37.98,0
25/05/2010,37.98,0.017530329
24/05/2010,37.32,-0.035017399
21/05/2010,38.65,0.023826235
20/05/2010,37.74,-0.074278296
19/05/2010,40.65,-0.003928313
18/05/2010,40.81,-0.030170021
17/05/2010,42.06,-0.003796872
14/05/2010,42.22,-0.026412661
13/05/2010,43.35,-0.007354664
12/05/2010,43.67,0.01197895
11/05/2010,43.15,0.012124187
10/05/2010,42.63,0.056454932
07/05/2010,40.29,-0.027901957
