Date,Close,DGX
29/07/2011,54.01,-0.009948498
28/07/2011,54.55,0.002385979
27/07/2011,54.42,-0.023966289
26/07/2011,55.74,-0.009463511
25/07/2011,56.27,-0.01271428
22/07/2011,56.99,-0.005948233
21/07/2011,57.33,0.004720701
20/07/2011,57.06,-0.026631351
19/07/2011,58.6,0.009946918
18/07/2011,58.02,-0.00068918
15/07/2011,58.06,0.001033948
14/07/2011,58,-0.006187713
13/07/2011,58.36,-0.002737852
12/07/2011,58.52,-0.00136612
11/07/2011,58.6,-0.017088649
08/07/2011,59.61,-0.016306518
07/07/2011,60.59,0.006623637
06/07/2011,60.19,0.008676844
05/07/2011,59.67,-0.00301205
01/07/2011,59.85,0.012610508
30/06/2011,59.1,0.010033245
29/06/2011,58.51,-0.012061643
28/06/2011,59.22,-0.004212661
27/06/2011,59.47,0.001009421
24/06/2011,59.41,-0.013708005
23/06/2011,60.23,-0.009912521
22/06/2011,60.83,0.000822301
21/06/2011,60.78,0.003295982
20/06/2011,60.58,0.000330196
17/06/2011,60.56,0.006626929
16/06/2011,60.16,0.013892599
15/06/2011,59.33,-0.003701216
14/06/2011,59.55,0.007416181
13/06/2011,59.11,0.010202435
10/06/2011,58.51,-0.001537017
09/06/2011,58.6,0.009946918
08/06/2011,58.02,0.000344768
07/06/2011,58,0.000517375
06/06/2011,57.97,-0.004646769
03/06/2011,58.24,-0.001029689
02/06/2011,58.3,0.00206044
01/06/2011,58.18,-0.004116644
31/05/2011,58.42,0.013615032
27/05/2011,57.63,0.007139778
26/05/2011,57.22,-0.005924394
25/05/2011,57.56,0.001564809
24/05/2011,57.47,-0.004687102
23/05/2011,57.74,-0.007591479
20/05/2011,58.18,-0.004116644
19/05/2011,58.42,0.001198938
18/05/2011,58.35,0.007223974
17/05/2011,57.93,0.004845138
16/05/2011,57.65,0.004345943
13/05/2011,57.4,-0.005905871
12/05/2011,57.74,0.012723483
11/05/2011,57.01,0.000175423
10/05/2011,57,0.003867117
09/05/2011,56.78,0.000704722
06/05/2011,56.74,0.01223528
05/05/2011,56.05,0
04/05/2011,56.05,0.004649508
03/05/2011,55.79,-0.012468989
02/05/2011,56.49,0.001949146
29/04/2011,56.38,0.007298653
28/04/2011,55.97,0.002683605
27/04/2011,55.82,0.00466871
26/04/2011,55.56,-0.000539811
25/04/2011,55.59,-0.017121874
21/04/2011,56.55,-0.022901097
20/04/2011,57.86,-0.016115555
19/04/2011,58.8,0.009226103
18/04/2011,58.26,-0.001714972
15/04/2011,58.36,0.010334229
14/04/2011,57.76,0.002947553
13/04/2011,57.59,-0.005713807
12/04/2011,57.92,0.002420053
11/04/2011,57.78,-0.003627887
08/04/2011,57.99,-0.004301822
07/04/2011,58.24,-0.003941398
06/04/2011,58.47,0.008415679
05/04/2011,57.98,0.003801629
04/04/2011,57.76,0.00555557
01/04/2011,57.44,-0.004862809
31/03/2011,57.72,0.00643089
30/03/2011,57.35,0.006823576
29/03/2011,56.96,0.039571898
28/03/2011,54.75,-0.000730327
25/03/2011,54.79,0.00384018
24/03/2011,54.58,0.014765864
23/03/2011,53.78,-0.000929282
22/03/2011,53.83,0.001673329
21/03/2011,53.74,0
18/03/2011,53.74,-0.008523305
17/03/2011,54.2,0.002031583
16/03/2011,54.09,-0.02049477
15/03/2011,55.21,-0.018661945
14/03/2011,56.25,-0.020064031
11/03/2011,57.39,0.010509818
10/03/2011,56.79,-0.011380671
09/03/2011,57.44,0.001742464
08/03/2011,57.34,0.019903783
07/03/2011,56.21,-0.008503151
04/03/2011,56.69,0.006370575
03/03/2011,56.33,0.00444801
02/03/2011,56.08,-0.004270469
01/03/2011,56.32,-0.007605945
28/02/2011,56.75,0.001410686
25/02/2011,56.67,0.005130484
24/02/2011,56.38,-0.004954009
23/02/2011,56.66,0.008329689
22/02/2011,56.19,-0.024089077
18/02/2011,57.56,0.004876359
17/02/2011,57.28,0.00052388
16/02/2011,57.25,0.008948213
15/02/2011,56.74,-0.00912287
14/02/2011,57.26,-0.00400872
11/02/2011,57.49,0.008735206
10/02/2011,56.99,-0.009952068
09/02/2011,57.56,-0.014488008
08/02/2011,58.4,-0.00290673
07/02/2011,58.57,-0.00680622
04/02/2011,58.97,0.011083752
03/02/2011,58.32,0.015900784
02/02/2011,57.4,0.006993035
01/02/2011,57,0.000877578
31/01/2011,56.95,-0.007173506
28/01/2011,57.36,-0.010750927
27/01/2011,57.98,0.00484095
26/01/2011,57.7,0.024917941
25/01/2011,56.28,0.038211983
24/01/2011,54.17,-0.006256921
21/01/2011,54.51,0.004781179
20/01/2011,54.25,0.012427128
19/01/2011,53.58,-0.016290623
18/01/2011,54.46,-0.003299728
14/01/2011,54.64,-0.009653112
13/01/2011,55.17,0.003086142
12/01/2011,55,0.008582176
11/01/2011,54.53,0.016642396
10/01/2011,53.63,0.009366873
07/01/2011,53.13,-0.028939137
06/01/2011,54.69,-0.014702143
05/01/2011,55.5,0.016349138
04/01/2011,54.6,-0.001464129
03/01/2011,54.68,0.013069675
31/12/2010,53.97,-0.0038835
30/12/2010,54.18,0.001662511
29/12/2010,54.09,-0.004795288
28/12/2010,54.35,-0.000551826
27/12/2010,54.38,-0.002937938
23/12/2010,54.54,-0.000733138
22/12/2010,54.58,0.000916506
21/12/2010,54.53,0.001284522
20/12/2010,54.46,0.004416643
17/12/2010,54.22,0.007590521
16/12/2010,53.81,0.018001611
15/12/2010,52.85,0.016213994
14/12/2010,52,0.01981032
13/12/2010,50.98,-0.001959632
10/12/2010,51.08,0.015785647
09/12/2010,50.28,0.003985657
08/12/2010,50.08,-0.002990731
07/12/2010,50.23,0.00259145
06/12/2010,50.1,0
03/12/2010,50.1,-0.009337507
02/12/2010,50.57,0.003962755
01/12/2010,50.37,0.021066081
30/11/2010,49.32,-0.003440951
29/11/2010,49.49,-0.001816898
26/11/2010,49.58,-0.007835299
24/11/2010,49.97,0.003608665
23/11/2010,49.79,-0.015544354
22/11/2010,50.57,-0.002764615
19/11/2010,50.71,-0.00452534
18/11/2010,50.94,0.010062233
17/11/2010,50.43,0.006166106
16/11/2010,50.12,-0.017601562
15/11/2010,51.01,-0.000392003
12/11/2010,51.03,-0.019598959
11/11/2010,52.04,0.001923447
10/11/2010,51.94,0
09/11/2010,51.94,-0.004610073
08/11/2010,52.18,0.00307102
05/11/2010,52.02,0.00907605
04/11/2010,51.55,0.013868764
03/11/2010,50.84,0.009089175
02/11/2010,50.38,0.020251319
01/11/2010,49.37,0.004669585
29/10/2010,49.14,0.005714301
28/10/2010,48.86,-0.012002992
27/10/2010,49.45,-0.001818366
26/10/2010,49.54,0.002627591
25/10/2010,49.41,0.007720477
22/10/2010,49.03,0.025615943
21/10/2010,47.79,0
20/10/2010,47.79,-0.046805314
19/10/2010,50.08,-0.029318381
18/10/2010,51.57,0.024140118
15/10/2010,50.34,0.007377164
14/10/2010,49.97,-0.01292393
13/10/2010,50.62,0.000395179
12/10/2010,50.6,0.002572476
11/10/2010,50.47,0.000991179
08/10/2010,50.42,0.003775464
07/10/2010,50.23,-0.007734297
06/10/2010,50.62,-0.000789889
05/10/2010,50.66,0.023568097
04/10/2010,49.48,-0.013051084
01/10/2010,50.13,-0.006759469
30/09/2010,50.47,0.016985122
29/09/2010,49.62,-0.003821789
28/09/2010,49.81,0.023975143
27/09/2010,48.63,-0.010432743
24/09/2010,49.14,0.007352974
23/09/2010,48.78,-0.003070313
22/09/2010,48.93,-0.002653334
21/09/2010,49.06,-0.013162081
20/09/2010,49.71,0.02939587
17/09/2010,48.27,0.00978461
16/09/2010,47.8,-0.013093817
15/09/2010,48.43,0.019810887
14/09/2010,47.48,0.009735527
13/09/2010,47.02,-0.015196578
10/09/2010,47.74,0.023954511
09/09/2010,46.61,0.02520229
08/09/2010,45.45,-0.00197824
07/09/2010,45.54,-0.008527438
03/09/2010,45.93,0.020456009
02/09/2010,45,0.00177936
01/09/2010,44.92,0.032122192
31/08/2010,43.5,-0.018900711
30/08/2010,44.33,-0.007192659
27/08/2010,44.65,-0.002013649
26/08/2010,44.74,-0.014203523
25/08/2010,45.38,0.005745872
24/08/2010,45.12,-0.023437717
23/08/2010,46.19,-0.004105007
20/08/2010,46.38,0.002590675
19/08/2010,46.26,-0.028975184
18/08/2010,47.62,-0.001678557
17/08/2010,47.7,0.013083116
16/08/2010,47.08,-0.005929708
13/08/2010,47.36,-0.001055186
12/08/2010,47.41,0.001477573
11/08/2010,47.34,-0.030374709
10/08/2010,48.8,0.008643808
09/08/2010,48.38,0.005596449
06/08/2010,48.11,-0.001868965
05/08/2010,48.2,-0.001658375
04/08/2010,48.28,0.016919464
03/08/2010,47.47,-0.013599959
02/08/2010,48.12,0.023763078
30/07/2010,46.99,0.014576893
29/07/2010,46.31,-0.002803236
28/07/2010,46.44,0.00583092
27/07/2010,46.17,0.011326629
26/07/2010,45.65,0.020806417
23/07/2010,44.71,0.003360595
22/07/2010,44.56,-0.046907569
21/07/2010,46.7,-0.06727834
20/07/2010,49.95,0.010667305
19/07/2010,49.42,0.00263398
16/07/2010,49.29,-0.02820469
15/07/2010,50.7,0.001974334
14/07/2010,50.6,0.00178024
13/07/2010,50.51,0.020804911
12/07/2010,49.47,-0.005241947
09/07/2010,49.73,-0.003011748
08/07/2010,49.88,0.002207728
07/07/2010,49.77,0.017430518
06/07/2010,48.91,-0.005911749
02/07/2010,49.2,-0.002233277
01/07/2010,49.31,-0.009285493
30/06/2010,49.77,-0.005610113
29/06/2010,50.05,-0.020370525
28/06/2010,51.08,0.006678477
25/06/2010,50.74,0.003158313
24/06/2010,50.58,-0.019771614
23/06/2010,51.59,-0.010604553
22/06/2010,52.14,-0.018056178
21/06/2010,53.09,0
18/06/2010,53.09,-0.006196621
17/06/2010,53.42,-0.004296261
16/06/2010,53.65,-0.000745295
15/06/2010,53.69,0.014634408
14/06/2010,52.91,0.002649509
11/06/2010,52.77,0.003607028
10/06/2010,52.58,0.014366687
09/06/2010,51.83,0.000192957
08/06/2010,51.82,0.000192994
07/06/2010,51.81,0.005419018
04/06/2010,51.53,-0.026806124
03/06/2010,52.93,0.007395502
02/06/2010,52.54,0.019216579
01/06/2010,51.54,-0.023205567
28/05/2010,52.75,-0.002272298
27/05/2010,52.87,0.021604893
26/05/2010,51.74,0.005037794
25/05/2010,51.48,-0.006968669
24/05/2010,51.84,-0.007877839
21/05/2010,52.25,0.000765843
20/05/2010,52.21,-0.039066
19/05/2010,54.29,-0.000184179
18/05/2010,54.3,-0.006607954
17/05/2010,54.66,-0.005655401
14/05/2010,54.97,-0.005080759
13/05/2010,55.25,-0.002530732
12/05/2010,55.39,0.009067889
11/05/2010,54.89,-0.000728465
10/05/2010,54.93,0.007858946
07/05/2010,54.5,-0.010404402
06/05/2010,55.07,-0.027227188
05/05/2010,56.59,0.010837807
04/05/2010,55.98,-0.013484945
03/05/2010,56.74,-0.007374924
30/04/2010,57.16,-0.001573289
29/04/2010,57.25,0.009829814
28/04/2010,56.69,0.006015588
27/04/2010,56.35,-0.018462063
26/04/2010,57.4,-0.007463369
23/04/2010,57.83,-0.003280107
22/04/2010,58.02,-0.00017234
21/04/2010,58.03,-0.026695456
20/04/2010,59.6,-0.004352928
19/04/2010,59.86,0.027092751
16/04/2010,58.26,-0.016850028
15/04/2010,59.25,0.018052261
14/04/2010,58.19,-0.001030574
13/04/2010,58.25,0.002578429
12/04/2010,58.1,-0.000860215
09/04/2010,58.15,0.002410469
08/04/2010,58.01,-0.003441752
07/04/2010,58.21,-0.003258729
