Date,Close,BBT
23/05/2012,30.14,0.001328021
22/05/2012,30.1,0.002994512
21/05/2012,30.01,0.011057241
18/05/2012,29.68,-0.014383924
17/05/2012,30.11,-0.017449002
16/05/2012,30.64,-0.003258393
15/05/2012,30.74,-0.012928428
14/05/2012,31.14,-0.019399559
11/05/2012,31.75,-0.000629723
10/05/2012,31.77,0.017143277
09/05/2012,31.23,-0.012726866
08/05/2012,31.63,-0.007559091
07/05/2012,31.87,0.009457826
04/05/2012,31.57,-0.01477782
03/05/2012,32.04,-0.004670723
02/05/2012,32.19,-0.005885103
01/05/2012,32.38,0.010555826
30/04/2012,32.04,-0.018246988
27/04/2012,32.63,0.004299761
26/04/2012,32.49,0.00154012
25/04/2012,32.44,0.015220048
24/04/2012,31.95,0.009750038
23/04/2012,31.64,0.001898134
20/04/2012,31.58,0.01531619
19/04/2012,31.1,-0.005771096
18/04/2012,31.28,0.000639591
17/04/2012,31.26,0.013851083
16/04/2012,30.83,0.011089481
13/04/2012,30.49,-0.022378103
12/04/2012,31.18,0.019430663
11/04/2012,30.58,0.020483042
10/04/2012,29.96,-0.022116762
09/04/2012,30.63,-0.021638177
05/04/2012,31.3,-0.002233925
04/04/2012,31.37,-0.010149152
03/04/2012,31.69,0.011105937
02/04/2012,31.34,-0.001594134
30/03/2012,31.39,-0.00254534
29/03/2012,31.47,-0.012944143
28/03/2012,31.88,0.025414328
27/03/2012,31.08,-0.010880107
26/03/2012,31.42,0.013780061
23/03/2012,30.99,0.00517633
22/03/2012,30.83,-0.007754482
21/03/2012,31.07,-0.009609299
20/03/2012,31.37,-0.000318725
19/03/2012,31.38,0.01024993
16/03/2012,31.06,-0.004497277
15/03/2012,31.2,0.025317808
14/03/2012,30.42,0.000657678
13/03/2012,30.4,0.036513854
12/03/2012,29.31,-0.005104656
09/03/2012,29.46,0.012295237
08/03/2012,29.1,0.012448294
07/03/2012,28.74,0.015074782
06/03/2012,28.31,-0.022700468
05/03/2012,28.96,-0.012013187
02/03/2012,29.31,0.003075348
01/03/2012,29.22,-0.001026167
29/02/2012,29.25,-0.006814336
28/02/2012,29.45,-0.0104713
27/02/2012,29.76,0.009453143
24/02/2012,29.48,-0.01113184
23/02/2012,29.81,0.011471111
22/02/2012,29.47,-0.020820094
21/02/2012,30.09,-0.007944431
17/02/2012,30.33,0.004626578
16/02/2012,30.19,0.027196573
15/02/2012,29.38,-0.007460191
14/02/2012,29.6,-0.001687764
13/02/2012,29.65,0.010851242
10/02/2012,29.33,-0.003063832
09/02/2012,29.42,-0.00778741
08/02/2012,29.65,0.004394126
07/02/2012,29.52,0.023998409
06/02/2012,28.82,-0.010355633
03/02/2012,29.12,0.038506682
02/02/2012,28.02,0.002501341
01/02/2012,27.95,0.027567941
31/01/2012,27.19,-0.000735294
30/01/2012,27.21,0.009601255
27/01/2012,26.95,-0.003333954
26/01/2012,27.04,-0.024115162
25/01/2012,27.7,-0.001803427
24/01/2012,27.75,0.000360425
23/01/2012,27.74,0.009053113
20/01/2012,27.49,0.013550839
19/01/2012,27.12,-0.01173034
18/01/2012,27.44,0.007315322
17/01/2012,27.24,0.000367175
13/01/2012,27.23,0.006632301
12/01/2012,27.05,0.01077877
11/01/2012,26.76,0.001121705
10/01/2012,26.73,0.01242252
09/01/2012,26.4,0.02337719
06/01/2012,25.79,-0.014626897
05/01/2012,26.17,0.009598845
04/01/2012,25.92,0.002317498
03/01/2012,25.86,0.027044564
30/12/2011,25.17,-0.00752032
29/12/2011,25.36,0.015097625
28/12/2011,24.98,-0.015097625
27/12/2011,25.36,-0.004720701
23/12/2011,25.48,0.005509656
22/12/2011,25.34,0.023558686
21/12/2011,24.75,0.00852105
20/12/2011,24.54,0.04075408
19/12/2011,23.56,-0.020584638
16/12/2011,24.05,0.016349138
15/12/2011,23.66,0.01963358
14/12/2011,23.2,0.003021802
13/12/2011,23.13,-0.007751977
12/12/2011,23.31,-0.020382871
09/12/2011,23.79,0.031165809
08/12/2011,23.06,-0.034941774
07/12/2011,23.88,0.014340187
06/12/2011,23.54,-0.006773946
05/12/2011,23.7,0.012739026
02/12/2011,23.4,0.014636508
01/12/2011,23.06,-0.004758824
30/11/2011,23.17,0.066929523
29/11/2011,21.67,-0.007356355
28/11/2011,21.83,0.030700085
25/11/2011,21.17,0.006159697
23/11/2011,21.04,-0.040061249
22/11/2011,21.9,-0.007279377
21/11/2011,22.06,-0.027717465
18/11/2011,22.68,0.000441014
17/11/2011,22.67,-0.012275472
16/11/2011,22.95,-0.018990644
15/11/2011,23.39,0.011178104
14/11/2011,23.13,-0.019268419
11/11/2011,23.58,0.02229938
10/11/2011,23.06,0.010024054
09/11/2011,22.83,-0.057863864
08/11/2011,24.19,0.024268974
07/11/2011,23.61,0.010217203
04/11/2011,23.37,-0.020331069
03/11/2011,23.85,0.02161559
02/11/2011,23.34,0.037542602
01/11/2011,22.48,-0.037542602
31/10/2011,23.34,-0.024128155
28/10/2011,23.91,-0.005838215
27/10/2011,24.05,0.03900452
26/10/2011,23.13,0.011304468
25/10/2011,22.87,-0.034804802
24/10/2011,23.68,0.026965041
21/10/2011,23.05,0.022818015
20/10/2011,22.53,0.010261076
19/10/2011,22.3,-0.026550232
18/10/2011,22.9,0.055669669
17/10/2011,21.66,-0.039824267
14/10/2011,22.54,0.000443754
13/10/2011,22.53,-0.011912782
12/10/2011,22.8,0.017699577
11/10/2011,22.4,0.017109828
10/10/2011,22.02,0.050767595
07/10/2011,20.93,-0.044389441
06/10/2011,21.88,0.04105054
05/10/2011,21,-0.000951928
04/10/2011,21.02,0.021154635
03/10/2011,20.58,-0.035794802
30/09/2011,21.33,-0.034557689
29/09/2011,22.08,0.037374592
28/09/2011,21.27,-0.033744824
27/09/2011,22,-0.00272356
26/09/2011,22.06,0.055932564
23/09/2011,20.86,0.012542374
22/09/2011,20.6,-0.019231362
21/09/2011,21,-0.055119299
20/09/2011,22.19,0.014068759
19/09/2011,21.88,-0.035469487
16/09/2011,22.67,0.007527155
15/09/2011,22.5,0.022472856
14/09/2011,22,0.017423641
13/09/2011,21.62,0.01350428
12/09/2011,21.33,0.020365374
09/09/2011,20.9,-0.033407012
08/09/2011,21.61,-0.028736299
07/09/2011,22.24,0.062621894
06/09/2011,20.89,-0.000956938
02/09/2011,20.91,-0.035239728
01/09/2011,21.66,-0.028670906
31/08/2011,22.29,0.026365164
30/08/2011,21.71,-0.001380898
29/08/2011,21.74,0.047089679
26/08/2011,20.74,0.019474812
25/08/2011,20.34,-0.01027155
24/08/2011,20.55,0.036169412
23/08/2011,19.82,0.033344972
22/08/2011,19.17,-0.005202925
19/08/2011,19.27,-0.026627277
18/08/2011,19.79,-0.058392843
17/08/2011,20.98,0.008135963
16/08/2011,20.81,-0.018095732
