Date,Close,STJ
18/09/2012,42.9,0.01313956
17/09/2012,42.34,0.010207804
14/09/2012,41.91,0.031263906
13/09/2012,40.62,0.011638116
12/09/2012,40.15,0.018095493
11/09/2012,39.43,0.007381986
10/09/2012,39.14,-0.00915571
07/09/2012,39.5,0.009922483
06/09/2012,39.11,0.022234628
05/09/2012,38.25,-0.004434597
04/09/2012,38.42,0.017327816
31/08/2012,37.76,-0.001058761
30/08/2012,37.8,-0.007380107
29/08/2012,38.08,0.009498752
28/08/2012,37.72,0.005849525
27/08/2012,37.5,-0.001598721
24/08/2012,37.56,-0.003455153
23/08/2012,37.69,0
22/08/2012,37.69,-0.007138166
21/08/2012,37.96,-0.005516893
20/08/2012,38.17,0.019043157
17/08/2012,37.45,0.015608498
16/08/2012,36.87,-0.044817257
15/08/2012,38.56,0.004418461
14/08/2012,38.39,0.005223308
13/08/2012,38.19,-0.006264703
10/08/2012,38.43,-0.012155846
09/08/2012,38.9,0.009297588
08/08/2012,38.54,-0.005950089
07/08/2012,38.77,0.021377248
06/08/2012,37.95,0.001318392
03/08/2012,37.9,0.032446874
02/08/2012,36.69,-0.023967756
01/08/2012,37.58,0.005871381
31/07/2012,37.36,-0.004806418
30/07/2012,37.54,0.000266418
27/07/2012,37.53,0.013952467
26/07/2012,37.01,0.004603935
25/07/2012,36.84,0.013665148
24/07/2012,36.34,-0.013122113
23/07/2012,36.82,-0.026267927
20/07/2012,37.8,-0.015227388
19/07/2012,38.38,0.016551015
18/07/2012,37.75,-0.038711159
17/07/2012,39.24,0.014891161
16/07/2012,38.66,-0.006445813
13/07/2012,38.91,0.015279334
12/07/2012,38.32,-0.007539357
11/07/2012,38.61,-0.013633652
10/07/2012,39.14,-0.003061227
09/07/2012,39.26,-0.005841286
06/07/2012,39.49,-0.003538932
05/07/2012,39.63,-0.005285026
03/07/2012,39.84,-0.00475774
02/07/2012,40.03,0.003002254
29/06/2012,39.91,0.028980167
28/06/2012,38.77,0.003358742
27/06/2012,38.64,0.028614631
26/06/2012,37.55,-0.012175905
25/06/2012,38.01,0.002898171
22/06/2012,37.9,0.025656137
21/06/2012,36.94,-0.010770163
20/06/2012,37.34,-0.001605566
19/06/2012,37.4,0.009132484
18/06/2012,37.06,0.041598065
15/06/2012,35.55,-0.001124543
14/06/2012,35.59,-0.011454239
13/06/2012,36,-0.006644543
12/06/2012,36.24,-0.061533182
11/06/2012,38.54,-0.011095456
08/06/2012,38.97,0.005403332
07/06/2012,38.76,0.002066116
06/06/2012,38.68,0.008828933
05/06/2012,38.34,0.016038204
04/06/2012,37.73,0.002653929
01/06/2012,37.63,-0.020776553
31/05/2012,38.42,-0.003118506
30/05/2012,38.54,-0.027132455
29/05/2012,39.6,0.00430217
25/05/2012,39.43,0.003556914
24/05/2012,39.29,0.013581247
23/05/2012,38.76,-0.001546791
22/05/2012,38.82,-0.009996239
21/05/2012,39.21,0.032135442
18/05/2012,37.97,-0.005253493
17/05/2012,38.17,-0.007048717
16/05/2012,38.44,-0.011638564
15/05/2012,38.89,-0.020362119
14/05/2012,39.69,0.020619287
11/05/2012,38.88,-0.006409457
10/05/2012,39.13,-0.002552324
09/05/2012,39.23,0.032908786
08/05/2012,37.96,0.002637828
07/05/2012,37.86,-0.002374358
04/05/2012,37.95,-0.014648444
03/05/2012,38.51,-0.008275196
02/05/2012,38.83,-0.005649733
01/05/2012,39.05,0.008486614
30/04/2012,38.72,0.002327086
27/04/2012,38.63,0.002592018
26/04/2012,38.53,0.008601643
25/04/2012,38.2,0.008148291
24/04/2012,37.89,0.001584786
23/04/2012,37.83,-0.005009898
20/04/2012,38.02,-0.008120542
19/04/2012,38.33,-0.00156413
18/04/2012,38.39,-0.0175579
17/04/2012,39.07,0.021211349
16/04/2012,38.25,-0.008590447
13/04/2012,38.58,-0.043617461
12/04/2012,40.3,0.026909709
11/04/2012,39.23,0.018004602
10/04/2012,38.53,-0.009814128
09/04/2012,38.91,-0.051588805
05/04/2012,40.97,-0.016941354
04/04/2012,41.67,-0.049852372
03/04/2012,43.8,-0.002052686
02/04/2012,43.89,-0.009523882
30/03/2012,44.31,0.008157761
29/03/2012,43.95,-0.001591452
28/03/2012,44.02,-0.011743586
27/03/2012,44.54,0.016753844
26/03/2012,43.8,0.007562772
23/03/2012,43.47,0.003225809
22/03/2012,43.33,-0.008045096
21/03/2012,43.68,0.021053409
20/03/2012,42.77,0.000935673
19/03/2012,42.73,-0.003271031
16/03/2012,42.87,0.002569194
15/03/2012,42.76,0.011288925
14/03/2012,42.28,-0.010353034
13/03/2012,42.72,0.043292663
12/03/2012,40.91,-0.021521808
09/03/2012,41.8,0.015672412
08/03/2012,41.15,0.005116347
07/03/2012,40.94,0.024228626
06/03/2012,39.96,-0.033225648
05/03/2012,41.31,-0.010834342
02/03/2012,41.76,-0.003346883
01/03/2012,41.9,-0.00523686
29/02/2012,42.12,-0.012504587
28/02/2012,42.65,-0.006543608
27/02/2012,42.93,-0.006963816
24/02/2012,43.23,0.016324989
23/02/2012,42.53,-0.005159486
22/02/2012,42.75,0.008220833
21/02/2012,42.4,-0.01591049
17/02/2012,43.08,-0.004631782
16/02/2012,43.28,-0.000692921
15/02/2012,43.31,-0.007590606
14/02/2012,43.64,0.021072911
13/02/2012,42.73,-0.001169454
10/02/2012,42.78,-0.003500179
09/02/2012,42.93,-0.013419914
08/02/2012,43.51,0.002070632
07/02/2012,43.42,0.002305742
06/02/2012,43.32,0.01887508
03/02/2012,42.51,0.015647545
02/02/2012,41.85,-0.00119403
01/02/2012,41.9,0.004544919
31/01/2012,41.71,0.008184928
30/01/2012,41.37,0.002420137
27/01/2012,41.27,0.008516903
26/01/2012,40.92,0.015267472
25/01/2012,40.3,0.044135999
24/01/2012,38.56,0.00259673
23/01/2012,38.46,-0.00259673
20/01/2012,38.56,0
19/01/2012,38.56,0.024679646
18/01/2012,37.62,0.016617911
17/01/2012,37,-0.00646554
13/01/2012,37.24,0.026116827
12/01/2012,36.28,0.009137541
11/01/2012,35.95,0.012878118
10/01/2012,35.49,-0.005899722
09/01/2012,35.7,0.031008031
06/01/2012,34.61,-0.008917073
05/01/2012,34.92,0.011520865
04/01/2012,34.52,-0.011807193
03/01/2012,34.93,0.018200705
30/12/2011,34.3,-0.005234092
29/12/2011,34.48,0.01137536
28/12/2011,34.09,-0.019463214
27/12/2011,34.76,-0.002585837
23/12/2011,34.85,-0.004580598
22/12/2011,35.01,0.039026502
21/12/2011,33.67,0.033829865
20/12/2011,32.55,0.012053924
19/12/2011,32.16,-0.024267817
16/12/2011,32.95,-0.019534806
15/12/2011,33.6,-0.005638834
14/12/2011,33.79,-0.013813592
13/12/2011,34.26,-0.020226058
12/12/2011,34.96,-0.005988896
09/12/2011,35.17,-0.018592085
08/12/2011,35.83,-0.04395412
07/12/2011,37.44,0.013174004
06/12/2011,36.95,-0.007011895
05/12/2011,37.21,0.037792011
02/12/2011,35.83,-0.072651627
01/12/2011,38.53,0.002338575
30/11/2011,38.44,0.074228047
29/11/2011,35.69,-0.009481387
28/11/2011,36.03,0.035309416
25/11/2011,34.78,-0.007162328
23/11/2011,35.03,-0.011354082
22/11/2011,35.43,-0.002818491
21/11/2011,35.53,-0.027756431
18/11/2011,36.53,-0.014134511
17/11/2011,37.05,-0.052830574
16/11/2011,39.06,-0.01094855
15/11/2011,39.49,0.006350841
14/11/2011,39.24,-0.012913206
11/11/2011,39.75,0.030394371
10/11/2011,38.56,0.028408012
09/11/2011,37.48,-0.046143987
08/11/2011,39.25,0.008957194
07/11/2011,38.9,0.008001075
04/11/2011,38.59,-0.016193645
03/11/2011,39.22,0.019048195
02/11/2011,38.48,0.022337021
01/11/2011,37.63,-0.035760042
31/10/2011,39,-0.027315811
28/10/2011,40.08,-0.021474354
27/10/2011,40.95,0.010556131
26/10/2011,40.52,-0.003449129
25/10/2011,40.66,-0.011006593
24/10/2011,41.11,0.026622228
21/10/2011,40.03,0.027350401
20/10/2011,38.95,0
19/10/2011,38.95,0.042213634
18/10/2011,37.34,-0.001338151
17/10/2011,37.39,-0.028735337
14/10/2011,38.48,0.005211059
13/10/2011,38.28,0.006552245
12/10/2011,38.03,0.003688097
11/10/2011,37.89,0.000263957
10/10/2011,37.88,0.02756765
07/10/2011,36.85,-0.018551413
06/10/2011,37.54,0.010712475
05/10/2011,37.14,0.054785483
04/10/2011,35.16,0.033548548
03/10/2011,34,-0.062422313
30/09/2011,36.19,-0.019699679
29/09/2011,36.91,-0.004055704
28/09/2011,37.06,-0.050253898
27/09/2011,38.97,0.01499511
26/09/2011,38.39,0.012845897
23/09/2011,37.9,-0.015187514
22/09/2011,38.48,-0.066355995
21/09/2011,41.12,-0.048651188
20/09/2011,43.17,0.017997447
19/09/2011,42.4,-0.027220478
16/09/2011,43.57,0.000918485
15/09/2011,43.53,-0.001606795
14/09/2011,43.6,0.011998298
13/09/2011,43.08,0.005586607
12/09/2011,42.84,0.004210533
09/09/2011,42.66,-0.038625491
08/09/2011,44.34,-0.013886001
07/09/2011,44.96,0.023858886
06/09/2011,43.9,0
02/09/2011,43.9,-0.026746172
01/09/2011,45.09,-0.009930568
31/08/2011,45.54,0.003078956
30/08/2011,45.4,-0.004834112
29/08/2011,45.62,0.013683727
26/08/2011,45,0.03229365
25/08/2011,43.57,-0.010275236
24/08/2011,44.02,0.011883138
23/08/2011,43.5,0.055780054
22/08/2011,41.14,0.000243102
19/08/2011,41.13,0.004874492
18/08/2011,40.93,-0.054671408
17/08/2011,43.23,0.002084058
16/08/2011,43.14,-0.0060088
15/08/2011,43.4,0.015792246
12/08/2011,42.72,0.007754709
11/08/2011,42.39,0.043390755
10/08/2011,40.59,-0.054417259
09/08/2011,42.86,0.041444369
08/08/2011,41.12,-0.066330446
05/08/2011,43.94,0.002962965
04/08/2011,43.81,-0.020335088
03/08/2011,44.71,0.020335088
02/08/2011,43.81,-0.030349637
01/08/2011,45.16,-0.029240573
29/07/2011,46.5,-0.002362798
28/07/2011,46.61,-0.008970586
27/07/2011,47.03,-0.014145702
26/07/2011,47.7,-0.017044686
25/07/2011,48.52,-0.018379116
22/07/2011,49.42,-0.002425224
21/07/2011,49.54,0.035545601
20/07/2011,47.81,0.020924361
19/07/2011,46.82,0.009011003
18/07/2011,46.4,0.010398707
15/07/2011,45.92,0.008090128
14/07/2011,45.55,-0.007436605
13/07/2011,45.89,-0.011698574
12/07/2011,46.43,0.00107747
11/07/2011,46.38,-0.023650831
08/07/2011,47.49,-0.006924799
07/07/2011,47.82,-0.001462752
06/07/2011,47.89,0.003137093
05/07/2011,47.74,-0.017442303
01/07/2011,48.58,0.018699901
30/06/2011,47.68,0.0014692
29/06/2011,47.61,0.01587839
28/06/2011,46.86,0.010943141
27/06/2011,46.35,0.001079331
24/06/2011,46.3,-0.023480268
23/06/2011,47.4,-0.026440595
22/06/2011,48.67,-0.019331154
21/06/2011,49.62,0.006469897
20/06/2011,49.3,0.02277255
17/06/2011,48.19,0.004367273
16/06/2011,47.98,0.005014637
15/06/2011,47.74,-0.028700225
14/06/2011,49.13,0.003874788
13/06/2011,48.94,0.002045409
10/06/2011,48.84,-0.014230775
09/06/2011,49.54,0.016896076
08/06/2011,48.71,-0.001845965
07/06/2011,48.8,0.015696316
06/06/2011,48.04,-0.000624285
03/06/2011,48.07,-0.018141087
02/06/2011,48.95,-0.016613024
01/06/2011,49.77,-0.017921627
31/05/2011,50.67,0.00217327
27/05/2011,50.56,0.007344946
26/05/2011,50.19,0.015460603
25/05/2011,49.42,0.000202368
24/05/2011,49.41,0.002228752
23/05/2011,49.3,-0.030365897
20/05/2011,50.82,-0.021414095
19/05/2011,51.92,-0.011109097
18/05/2011,52.5,0.015355388
17/05/2011,51.7,0.000386922
16/05/2011,51.68,-0.00559577
13/05/2011,51.97,-0.003840988
12/05/2011,52.17,-0.005352718
11/05/2011,52.45,-0.010431579
10/05/2011,53,0.011194501
09/05/2011,52.41,0.000954472
06/05/2011,52.36,0.000955384
05/05/2011,52.31,-0.00076438
04/05/2011,52.35,-0.02266386
03/05/2011,53.55,-0.009108716
02/05/2011,54.04,0.011164984
29/04/2011,53.44,-0.003176089
28/04/2011,53.61,0.005049099
27/04/2011,53.34,0.024097552
26/04/2011,52.07,0.006937781
25/04/2011,51.71,-0.017255029
21/04/2011,52.61,-0.009459019
20/04/2011,53.11,0.040539602
19/04/2011,51,-0.00878483
18/04/2011,51.45,-0.028926449
15/04/2011,52.96,0.014454417
14/04/2011,52.2,0.001725626
13/04/2011,52.11,-0.000191883
12/04/2011,52.12,-0.008026032
11/04/2011,52.54,0.005343524
08/04/2011,52.26,-0.011226452
07/04/2011,52.85,-0.002456772
06/04/2011,52.98,0.007578665
05/04/2011,52.58,0.001332192
04/04/2011,52.51,0.006112722
01/04/2011,52.19,0.017980185
31/03/2011,51.26,-0.008740465
30/03/2011,51.71,0.003098976
29/03/2011,51.55,0.001941748
28/03/2011,51.45,0.013107886
25/03/2011,50.78,-0.012524626
24/03/2011,51.42,0.008593803
23/03/2011,50.98,-0.008399307
22/03/2011,51.41,0.059506787
21/03/2011,48.44,0.007251663
18/03/2011,48.09,0.022075952
17/03/2011,47.04,0.001276324
16/03/2011,46.98,-0.021687343
15/03/2011,48.01,-0.007677183
14/03/2011,48.38,-0.008233888
11/03/2011,48.78,0.010302997
10/03/2011,48.28,-0.023742417
09/03/2011,49.44,-0.016250734
08/03/2011,50.25,0.018883647
07/03/2011,49.31,-0.001621074
04/03/2011,49.39,0.000405022
03/03/2011,49.37,0.020463165
02/03/2011,48.37,0.007053971
01/03/2011,48.03,0.003127935
28/02/2011,47.88,-0.002711442
25/02/2011,48.01,0.021048978
24/02/2011,47.01,0.005332208
23/02/2011,46.76,-0.018224704
22/02/2011,47.62,-0.018517121
18/02/2011,48.51,0.019147307
17/02/2011,47.59,0.012900676
16/02/2011,46.98,-0.008056011
15/02/2011,47.36,-0.000844238
14/02/2011,47.4,0.006561564
11/02/2011,47.09,0.021247714
10/02/2011,46.1,0.030392121
09/02/2011,44.72,0.012601427
08/02/2011,44.16,0.003629768
07/02/2011,44,0.04747285
