Date,Close,EXPE
25/05/2012,44.89,-0.007987617
24/05/2012,45.25,-0.007924321
23/05/2012,45.61,0.065693906
22/05/2012,42.71,0.008464664
21/05/2012,42.35,0.039249049
18/05/2012,40.72,-0.009288749
17/05/2012,41.1,-0.045424525
16/05/2012,43.01,0.031411249
15/05/2012,41.68,0.006740517
14/05/2012,41.4,0.00702948
11/05/2012,41.11,0.004876869
10/05/2012,40.91,-0.005606352
09/05/2012,41.14,0.000972763
08/05/2012,41.1,0.004878058
07/05/2012,40.9,-0.00195408
04/05/2012,40.98,-0.010921113
03/05/2012,41.43,-0.024321657
02/05/2012,42.45,0.019265669
01/05/2012,41.64,-0.02396603
30/04/2012,42.65,0.056427697
27/04/2012,40.31,0.211367467
26/04/2012,32.63,0.009545877
25/04/2012,32.32,0.024429652
24/04/2012,31.54,0.004767211
23/04/2012,31.39,-0.017369772
20/04/2012,31.94,0.012285554
19/04/2012,31.55,0.001903554
18/04/2012,31.49,0.009893171
17/04/2012,31.18,-0.000961693
16/04/2012,31.21,-0.019042149
13/04/2012,31.81,-0.006580002
12/04/2012,32.02,0.004068227
11/04/2012,31.89,0.005660392
10/04/2012,31.71,-0.019981932
09/04/2012,32.35,-0.016858637
05/04/2012,32.9,0.017786424
04/04/2012,32.32,-0.028368533
03/04/2012,33.25,-0.002403125
02/04/2012,33.33,-0.003294896
30/03/2012,33.44,0.005698021
29/03/2012,33.25,0.021584665
28/03/2012,32.54,-0.047413621
27/03/2012,34.12,-0.037957403
26/03/2012,35.44,0.037371408
23/03/2012,34.14,-0.002340551
22/03/2012,34.22,0.006155669
21/03/2012,34.01,0.005897982
20/03/2012,33.81,-0.010005969
19/03/2012,34.15,0.015938944
16/03/2012,33.61,0.010167552
15/03/2012,33.27,0.026189073
14/03/2012,32.41,-0.003695723
13/03/2012,32.53,0.013618285
12/03/2012,32.09,0.011912367
09/03/2012,31.71,-0.019054145
08/03/2012,32.32,-0.017482427
07/03/2012,32.89,0.003655197
06/03/2012,32.77,-0.018742991
05/03/2012,33.39,-0.007459381
02/03/2012,33.64,-0.012701397
01/03/2012,34.07,0.000587199
29/02/2012,34.05,0.007665132
28/02/2012,33.79,0.019423889
27/02/2012,33.14,0.005142955
24/02/2012,32.97,-0.00845671
23/02/2012,33.25,0.007244221
22/02/2012,33.01,-0.000302893
21/02/2012,33.02,-0.001513089
17/02/2012,33.07,-0.006029563
16/02/2012,33.27,-0.004498433
15/02/2012,33.42,-0.014850288
14/02/2012,33.92,-0.014342409
13/02/2012,34.41,0.025608463
10/02/2012,33.54,-0.018316613
09/02/2012,34.16,0.015042313
08/02/2012,33.65,-0.011523248
07/02/2012,34.04,0.013903493
06/02/2012,33.57,-0.019177457
03/02/2012,34.22,0.03569683
02/02/2012,33.02,0.002729342
01/02/2012,32.93,0.017152028
31/01/2012,32.37,0.011808714
30/01/2012,31.99,0.005957064
27/01/2012,31.8,0.021936979
26/01/2012,31.11,-0.003529604
25/01/2012,31.22,-0.005748978
24/01/2012,31.4,0.015728137
23/01/2012,30.91,-0.004196939
20/01/2012,31.04,-0.00929941
19/01/2012,31.33,0.01446738
18/01/2012,30.88,0.039298436
17/01/2012,29.69,0.034959009
13/01/2012,28.67,-0.006951714
12/01/2012,28.87,-0.015125761
11/01/2012,29.31,-0.006461509
10/01/2012,29.5,0.029935144
09/01/2012,28.63,-0.021424455
06/01/2012,29.25,0.016546396
05/01/2012,28.77,-0.0089966
04/01/2012,29.03,-0.021469559
03/01/2012,29.66,0.021814089
30/12/2011,29.02,-0.010966525
29/12/2011,29.34,-0.007131971
28/12/2011,29.55,-0.017444253
27/12/2011,30.07,0.00099817
23/12/2011,30.04,0.030074914
22/12/2011,29.15,0.044186711
21/12/2011,27.89,-0.023388734
20/12/2011,28.55,0.034928711
19/12/2011,27.57,-0.014761744
16/12/2011,27.98,0.014036581
15/12/2011,27.59,0.008005865
14/12/2011,27.37,-0.020253857
13/12/2011,27.93,-0.017743546
12/12/2011,28.43,-0.002459162
09/12/2011,28.5,0.016272025
08/12/2011,28.04,-0.040879054
07/12/2011,29.21,0.013788567
06/12/2011,28.81,-0.003810848
05/12/2011,28.92,0.028763821
02/12/2011,28.1,0.002494211
01/12/2011,28.03,0.007520179
30/11/2011,27.82,0.015942367
29/11/2011,27.38,0.016200649
28/11/2011,26.94,0.031293788
25/11/2011,26.11,0.010007782
23/11/2011,25.85,-0.036091287
