Date,Close,PWR
12/10/2011,20.07,0.019623271
11/10/2011,19.68,-0.007088637
10/10/2011,19.82,0.030740125
07/10/2011,19.22,-0.021107605
06/10/2011,19.63,0.034727511
05/10/2011,18.96,0.048078392
04/10/2011,18.07,0.039508524
03/10/2011,17.37,-0.078580233
30/09/2011,18.79,-0.034007986
29/09/2011,19.44,0.040950604
28/09/2011,18.66,-0.040436068
27/09/2011,19.43,0.020801582
26/09/2011,19.03,0
23/09/2011,19.03,0.038023322
22/09/2011,18.32,-0.031697523
21/09/2011,18.91,0.000528961
20/09/2011,18.9,-0.007380107
19/09/2011,19.04,0.011090687
16/09/2011,18.83,-0.00423954
15/09/2011,18.91,0.020299842
14/09/2011,18.53,0.017969446
13/09/2011,18.2,0.022785092
12/09/2011,17.79,0.000562272
09/09/2011,17.78,-0.035362801
08/09/2011,18.42,-0.01026204
07/09/2011,18.61,0.033327313
06/09/2011,18,0.003338901
02/09/2011,17.94,-0.045759617
01/09/2011,18.78,-0.021596836
31/08/2011,19.19,0.000521241
30/08/2011,19.18,0.043693684
29/08/2011,18.36,0.013158085
26/08/2011,18.12,0.05152569
25/08/2011,17.21,-0.016138679
24/08/2011,17.49,0.030771659
23/08/2011,16.96,0.046463863
22/08/2011,16.19,-0.004314336
19/08/2011,16.26,-0.000614817
18/08/2011,16.27,-0.073449225
17/08/2011,17.51,-0.016987951
16/08/2011,17.81,-0.017807927
15/08/2011,18.13,0.023438573
12/08/2011,17.71,-0.002256064
11/08/2011,17.75,0.064576081
10/08/2011,16.64,-0.026098753
09/08/2011,17.08,0.099652145
08/08/2011,15.46,-0.115336463
05/08/2011,17.35,-0.001152074
04/08/2011,17.37,-0.086003385
03/08/2011,18.93,0.103425428
02/08/2011,17.07,-0.047478176
01/08/2011,17.9,-0.034050516
29/07/2011,18.52,-0.003234504
28/07/2011,18.58,-0.017605149
27/07/2011,18.91,-0.032260862
26/07/2011,19.53,-0.009174376
25/07/2011,19.71,-0.001014199
22/07/2011,19.73,-0.002025317
21/07/2011,19.77,0.019924031
20/07/2011,19.38,0.00361851
19/07/2011,19.31,0.0182916
18/07/2011,18.96,-0.008926287
15/07/2011,19.13,0.002617117
14/07/2011,19.08,-0.037041272
13/07/2011,19.8,0.009132484
12/07/2011,19.62,-0.012158204
11/07/2011,19.86,-0.031717228
08/07/2011,20.5,-0.017408563
07/07/2011,20.86,0.011087122
06/07/2011,20.63,0.002426597
05/07/2011,20.58,0.001945526
01/07/2011,20.54,0.0166916
30/06/2011,20.2,-0.006906786
29/06/2011,20.34,0.022372298
28/06/2011,19.89,0.009090972
27/06/2011,19.71,0.012765044
24/06/2011,19.46,-0.018834866
23/06/2011,19.83,0.020377679
22/06/2011,19.43,0.010346704
21/06/2011,19.23,0.016780677
20/06/2011,18.91,0.005302239
17/06/2011,18.81,-0.000531491
16/06/2011,18.82,0
15/06/2011,18.82,-0.010570923
14/06/2011,19.02,0.016967533
13/06/2011,18.7,-0.002136753
10/06/2011,18.74,-0.012725516
09/06/2011,18.98,-0.002105264
08/06/2011,19.02,0.004214969
07/06/2011,18.94,0.021345528
06/06/2011,18.54,-0.028185859
03/06/2011,19.07,-0.018701844
02/06/2011,19.43,0.005677435
01/06/2011,19.32,-0.022012663
31/05/2011,19.75,0.008134259
27/05/2011,19.59,0.01181015
26/05/2011,19.36,-0.002063984
25/05/2011,19.4,0.012448294
24/05/2011,19.16,-0.01347869
23/05/2011,19.42,-0.016343571
20/05/2011,19.74,0.004569696
19/05/2011,19.65,0.011773875
18/05/2011,19.42,0.015045679
17/05/2011,19.13,-0.026819555
16/05/2011,19.65,-0.004062982
13/05/2011,19.73,0.007121088
12/05/2011,19.59,-0.001530222
11/05/2011,19.62,-0.00609758
10/05/2011,19.74,0.001520913
09/05/2011,19.71,0.006617484
06/05/2011,19.58,0.012850344
05/05/2011,19.33,0.010923386
04/05/2011,19.12,-0.114056902
03/05/2011,21.43,-0.001398928
02/05/2011,21.46,-0.010199439
29/04/2011,21.68,0.017683104
28/04/2011,21.3,0.01513747
27/04/2011,20.98,0.003820444
26/04/2011,20.9,0.004315519
25/04/2011,20.81,-0.018095732
21/04/2011,21.19,0.016655155
20/04/2011,20.84,-0.000959233
19/04/2011,20.86,0.012057055
18/04/2011,20.61,-0.017793208
15/04/2011,20.98,0.002386067
14/04/2011,20.93,0.001434377
13/04/2011,20.9,-0.05038379
12/04/2011,21.98,-0.02693161
11/04/2011,22.58,0.002660755
08/04/2011,22.52,-0.004872656
07/04/2011,22.63,-0.009236925
06/04/2011,22.84,0.021687064
05/04/2011,22.35,-0.011565965
04/04/2011,22.61,-0.007929557
