Date,Close,NEE
29/11/2011,54.4,0.015748357
28/11/2011,53.55,0.018470182
25/11/2011,52.57,0.003620776
23/11/2011,52.38,-0.020408872
22/11/2011,53.46,-0.022929999
21/11/2011,54.7,-0.015059706
18/11/2011,55.53,0.002704898
17/11/2011,55.38,-0.003964684
16/11/2011,55.6,-0.000898876
15/11/2011,55.65,0.006851812
14/11/2011,55.27,-0.009901962
11/11/2011,55.82,0.009540168
10/11/2011,55.29,0.007443077
09/11/2011,54.88,-0.028206307
08/11/2011,56.45,0.007468029
07/11/2011,56.03,-0.007290865
04/11/2011,56.44,-0.020518037
03/11/2011,57.61,0.024779407
02/11/2011,56.2,0.015240098
01/11/2011,55.35,-0.018792499
31/10/2011,56.4,-0.011283618
28/10/2011,57.04,-0.013236
27/10/2011,57.8,0.031101514
26/10/2011,56.03,0.014924308
25/10/2011,55.2,-0.011527505
24/10/2011,55.84,-0.000537105
21/10/2011,55.87,0.01424089
20/10/2011,55.08,0.006009305
19/10/2011,54.75,-0.001460121
18/10/2011,54.83,0.002556612
17/10/2011,54.69,-0.003103608
14/10/2011,54.86,0.00493377
13/10/2011,54.59,-0.001647296
12/10/2011,54.68,-0.001644587
11/10/2011,54.77,-0.006007117
10/10/2011,55.1,0.016468808
07/10/2011,54.2,0.008151212
06/10/2011,53.76,0.013860495
05/10/2011,53.02,0.000188626
04/10/2011,53.01,0.002644505
03/10/2011,52.87,-0.021518278
30/09/2011,54.02,-0.009213258
29/09/2011,54.52,0.012550921
28/09/2011,53.84,-0.013284328
27/09/2011,54.56,0.003304574
26/09/2011,54.38,0.010537116
23/09/2011,53.81,0.008585346
22/09/2011,53.35,-0.026998681
21/09/2011,54.81,-0.015568743
20/09/2011,55.67,0.016664033
19/09/2011,54.75,-0.009633811
16/09/2011,55.28,0.017150575
15/09/2011,54.34,0.0090582
14/09/2011,53.85,0.00483992
13/09/2011,53.59,-0.00984132
12/09/2011,54.12,0.009654735
09/09/2011,53.6,-0.019583112
08/09/2011,54.66,-0.006201005
07/09/2011,55,-0.000908678
06/09/2011,55.05,-0.010480761
02/09/2011,55.63,-0.019404258
01/09/2011,56.72,0
31/08/2011,56.72,0.004948755
30/08/2011,56.44,0.002661228
29/08/2011,56.29,0.015756817
26/08/2011,55.41,0.003615987
25/08/2011,55.21,-0.014921625
24/08/2011,56.04,0.016553095
23/08/2011,55.12,0.018124066
22/08/2011,54.13,-0.002951487
19/08/2011,54.29,-0.005510668
18/08/2011,54.59,-0.008391147
17/08/2011,55.05,0.006560986
16/08/2011,54.69,-0.000913826
15/08/2011,54.74,0.038169019
12/08/2011,52.69,0.004565349
11/08/2011,52.45,0.044044531
10/08/2011,50.19,-0.034273403
09/08/2011,51.94,0.034671968
08/08/2011,50.17,-0.051283328
05/08/2011,52.81,0.006077891
04/08/2011,52.49,-0.028916773
03/08/2011,54.03,-0.003879196
02/08/2011,54.24,-0.021341439
01/08/2011,55.41,0.002891742
29/07/2011,55.25,-0.017759907
28/07/2011,56.24,-0.00726374
27/07/2011,56.65,-0.012455209
26/07/2011,57.36,-0.003133162
25/07/2011,57.54,0.001391305
22/07/2011,57.46,-0.007455605
21/07/2011,57.89,0.016546576
20/07/2011,56.94,0.002990065
19/07/2011,56.77,0.00724833
18/07/2011,56.36,-0.007776639
15/07/2011,56.8,-0.003339488
14/07/2011,56.99,-0.003678085
13/07/2011,57.2,-0.00157219
12/07/2011,57.29,0.002271735
11/07/2011,57.16,-0.00940282
08/07/2011,57.7,-0.006047535
07/07/2011,58.05,0.005008214
06/07/2011,57.76,0.001212646
05/07/2011,57.69,-0.008457805
01/07/2011,58.18,0.0124526
30/06/2011,57.46,0.004010817
29/06/2011,57.23,0.002449266
28/06/2011,57.09,0.001928641
27/06/2011,56.98,0.006514681
24/06/2011,56.61,0.004071162
23/06/2011,56.38,-0.006012397
22/06/2011,56.72,-0.004397931
21/06/2011,56.97,-0.001403263
20/06/2011,57.05,0.007389196
17/06/2011,56.63,0.008512199
16/06/2011,56.15,0.012184347
15/06/2011,55.47,-0.007543139
14/06/2011,55.89,-0.000178907
13/06/2011,55.9,0.007361556
10/06/2011,55.49,-0.0025198
09/06/2011,55.63,0.002339603
08/06/2011,55.5,0.001622938
07/06/2011,55.41,0
06/06/2011,55.41,-0.004860933
03/06/2011,55.68,-0.009473661
02/06/2011,56.21,-0.009737175
01/06/2011,56.76,-0.020748717
31/05/2011,57.95,0.010407726
27/05/2011,57.35,0.004368727
26/05/2011,57.1,0.001577426
25/05/2011,57.01,-0.00646912
24/05/2011,57.38,-0.003653131
23/05/2011,57.59,-0.003293754
20/05/2011,57.78,-0.010501947
19/05/2011,58.39,-0.001882112
18/05/2011,58.5,-0.001707942
17/05/2011,58.6,0.009085517
16/05/2011,58.07,-0.009767878
13/05/2011,58.64,-0.004084417
12/05/2011,58.88,0.011272536
11/05/2011,58.22,-0.00223042
10/05/2011,58.35,0.012069112
09/05/2011,57.65,0.004520175
06/05/2011,57.39,0.005941996
05/05/2011,57.05,-0.006638739
04/05/2011,57.43,0.001045296
03/05/2011,57.37,0.013512533
02/05/2011,56.6,0.000530176
29/04/2011,56.57,-0.004585546
28/04/2011,56.83,0.011147598
27/04/2011,56.2,0.002851035
26/04/2011,56.04,0.010403681
25/04/2011,55.46,-0.000901145
21/04/2011,55.51,-0.003057831
20/04/2011,55.68,0.014289833
19/04/2011,54.89,-0.000728465
18/04/2011,54.93,-0.003452979
15/04/2011,55.12,-0.000725426
14/04/2011,55.16,0.003450471
13/04/2011,54.97,-0.002725045
12/04/2011,55.12,-0.000906701
11/04/2011,55.17,-0.014932363
08/04/2011,56,-0.000892459
07/04/2011,56.05,-0.00923466
06/04/2011,56.57,0.00460667
05/04/2011,56.31,0.002133334
04/04/2011,56.19,0.004637896
01/04/2011,55.93,0.014588282
31/03/2011,55.12,0.002543144
30/03/2011,54.98,0.005471471
29/03/2011,54.68,0.016782321
28/03/2011,53.77,-0.006118495
25/03/2011,54.1,0.001479837
24/03/2011,54.02,0.006127584
23/03/2011,53.69,-0.003718168
22/03/2011,53.89,0.002415236
21/03/2011,53.76,0.018776368
18/03/2011,52.76,-0.001136579
17/03/2011,52.82,0.004173787
16/03/2011,52.6,-0.021999571
15/03/2011,53.77,-0.024070983
14/03/2011,55.08,-0.011013924
11/03/2011,55.69,0.006123938
10/03/2011,55.35,-0.007559431
09/03/2011,55.77,0.008463182
08/03/2011,55.3,0.012372792
