Date,Close,QEP
01/11/2012,29.38,0.013018341
31/10/2012,29,-0.082056594
26/10/2012,31.48,-0.005385725
25/10/2012,31.65,0.008567401
24/10/2012,31.38,0.014767524
23/10/2012,30.92,-0.013811043
22/10/2012,31.35,-0.013937508
19/10/2012,31.79,0.003781914
18/10/2012,31.67,-0.007236149
17/10/2012,31.9,0
16/10/2012,31.9,0.011983745
15/10/2012,31.52,-0.015113638
12/10/2012,32,-0.015196447
11/10/2012,32.49,0.020837327
10/10/2012,31.82,0.001887387
09/10/2012,31.76,0.007585371
08/10/2012,31.52,-0.004747596
05/10/2012,31.67,-0.012862922
04/10/2012,32.08,0.022699588
03/10/2012,31.36,-0.032933822
02/10/2012,32.41,0.010234234
01/10/2012,32.08,0.013178729
28/09/2012,31.66,0
27/09/2012,31.66,0.028513865
26/09/2012,30.77,-0.008736506
25/09/2012,31.04,-0.01502826
24/09/2012,31.51,-0.014180165
21/09/2012,31.96,-0.003124026
20/09/2012,32.06,0.000624025
19/09/2012,32.04,-0.007772463
18/09/2012,32.29,-0.019018978
17/09/2012,32.91,-0.009375541
14/09/2012,33.22,0.019453501
13/09/2012,32.58,0.025805878
12/09/2012,31.75,0.034933852
11/09/2012,30.66,0.033834073
10/09/2012,29.64,0.000674992
07/09/2012,29.62,0.038194906
06/09/2012,28.51,0.013062851
05/09/2012,28.14,-0.019007964
04/09/2012,28.68,-0.000348614
31/08/2012,28.69,0.015809217
30/08/2012,28.24,-0.026556417
29/08/2012,29,-0.000344768
28/08/2012,29.01,0.011789318
27/08/2012,28.67,-0.004524107
24/08/2012,28.8,0.057893978
23/08/2012,27.18,-0.030080181
22/08/2012,28.01,0.011490252
21/08/2012,27.69,0.011989244
20/08/2012,27.36,0.009917437
17/08/2012,27.09,0.020511627
16/08/2012,26.54,0.000753864
15/08/2012,26.52,-0.007138862
14/08/2012,26.71,-0.00968711
13/08/2012,26.97,-0.035692062
10/08/2012,27.95,-0.008195307
09/08/2012,28.18,0.008911127
08/08/2012,27.93,-0.011038033
07/08/2012,28.24,0.027644913
06/08/2012,27.47,0.002916517
03/08/2012,27.39,0.014341117
02/08/2012,27,-0.060014414
01/08/2012,28.67,-0.046345602
31/07/2012,30.03,-0.007299302
30/07/2012,30.25,0.029862981
27/07/2012,29.36,0.016137689
26/07/2012,28.89,0.021340673
25/07/2012,28.28,-0.008100062
24/07/2012,28.51,-0.017040927
23/07/2012,29,-0.01539808
20/07/2012,29.45,-0.0104713
19/07/2012,29.76,-0.003354582
18/07/2012,29.86,0.010774515
17/07/2012,29.54,0.011919092
16/07/2012,29.19,0.01033067
13/07/2012,28.89,0.022048137
12/07/2012,28.26,-0.004941768
11/07/2012,28.4,0.01311378
10/07/2012,28.03,-0.03056623
09/07/2012,28.9,-0.005521063
06/07/2012,29.06,-0.010270546
05/07/2012,29.36,-0.021564178
03/07/2012,30,0.021223636
02/07/2012,29.37,-0.020223136
29/06/2012,29.97,0.055922647
28/06/2012,28.34,0.028271699
27/06/2012,27.55,0.077324083
26/06/2012,25.5,0.039189341
25/06/2012,24.52,-0.036440468
22/06/2012,25.43,0.01465663
21/06/2012,25.06,-0.061516201
20/06/2012,26.65,-0.031033152
19/06/2012,27.49,0.000363835
18/06/2012,27.48,-0.000727537
15/06/2012,27.5,0.039686276
14/06/2012,26.43,0.029956157
13/06/2012,25.65,-0.023884032
12/06/2012,26.27,0.019216579
11/06/2012,25.77,-0.019977614
08/06/2012,26.29,-0.00531109
07/06/2012,26.43,-0.017626558
06/06/2012,26.9,0.043303385
05/06/2012,25.76,0.017623327
04/06/2012,25.31,-0.000395023
01/06/2012,25.32,-0.038734509
31/05/2012,26.32,0.00571539
30/05/2012,26.17,-0.048480784
29/05/2012,27.47,0.030680654
25/05/2012,26.64,0.014747857
24/05/2012,26.25,-0.031129459
23/05/2012,27.08,0.007412932
22/05/2012,26.88,-0.014404681
21/05/2012,27.27,0.036979003
18/05/2012,26.28,-0.01922049
17/05/2012,26.79,-0.003725787
16/05/2012,26.89,-0.012564836
15/05/2012,27.23,-0.050485035
14/05/2012,28.64,-0.023806541
11/05/2012,29.33,-0.007472861
10/05/2012,29.55,-0.016446083
09/05/2012,30.04,-0.006966358
08/05/2012,30.25,-0.001321441
07/05/2012,30.29,0.012290472
04/05/2012,29.92,0.001672521
03/05/2012,29.87,-0.013962993
02/05/2012,30.29,-0.03885241
01/05/2012,31.49,0.021830723
30/04/2012,30.81,0.006185922
27/04/2012,30.62,0.00130719
26/04/2012,30.58,0.014493007
25/04/2012,30.14,0.004655812
24/04/2012,30,0.006688988
23/04/2012,29.8,0.016238516
20/04/2012,29.32,-0.003404838
19/04/2012,29.42,0.002382169
18/04/2012,29.35,-0.013536586
17/04/2012,29.75,0.046439987
16/04/2012,28.4,-0.000703978
13/04/2012,28.42,-0.01985782
12/04/2012,28.99,0.035460974
11/04/2012,27.98,-0.009249443
10/04/2012,28.24,-0.0317155
09/04/2012,29.15,-0.018692133
05/04/2012,29.7,-0.023295563
04/04/2012,30.4,-0.024692613
03/04/2012,31.16,-0.012438368
02/04/2012,31.55,0.033846905
30/03/2012,30.5,0.025906464
29/03/2012,29.72,0.003708078
28/03/2012,29.61,-0.021384042
27/03/2012,30.25,-0.011830568
26/03/2012,30.61,0.005240759
23/03/2012,30.45,0
22/03/2012,30.45,-0.046833446
21/03/2012,31.91,-0.011528403
20/03/2012,32.28,-0.023876249
19/03/2012,33.06,0.035404652
16/03/2012,31.91,0.013884729
15/03/2012,31.47,0.026728366
14/03/2012,30.64,-0.012648134
13/03/2012,31.03,0.012321816
12/03/2012,30.65,-0.042790692
09/03/2012,31.99,-0.01026288
08/03/2012,32.32,0.00963788
07/03/2012,32.01,0.000937647
06/03/2012,31.98,-0.00747667
05/03/2012,32.22,-0.019059907
02/03/2012,32.84,-0.029700698
01/03/2012,33.83,-0.009121735
29/02/2012,34.14,-0.017997583
28/02/2012,34.76,-0.004019529
27/02/2012,34.9,0.016758555
24/02/2012,34.32,0.008485786
23/02/2012,34.03,0.075035186
22/02/2012,31.57,-0.028725047
21/02/2012,32.49,-0.001230391
17/02/2012,32.53,0.012683851
16/02/2012,32.12,0.026819718
15/02/2012,31.27,0.008671967
14/02/2012,31,0.003231021
13/02/2012,30.9,0.016642577
10/02/2012,30.39,-0.034603291
09/02/2012,31.46,0.033945396
08/02/2012,30.41,0.018921726
07/02/2012,29.84,-0.001674201
06/02/2012,29.89,0.005031035
03/02/2012,29.74,0.019009398
02/02/2012,29.18,0.009641948
01/02/2012,28.9,0.009037253
31/01/2012,28.64,-0.020391237
30/01/2012,29.23,0.000342173
27/01/2012,29.22,0.008937839
26/01/2012,28.96,-0.035281814
25/01/2012,30,0.037355787
24/01/2012,28.9,0.000692281
23/01/2012,28.88,0.050783146
20/01/2012,27.45,0
19/01/2012,27.45,-0.006897831
18/01/2012,27.64,0.023427133
17/01/2012,27,0.003710579
13/01/2012,26.9,-0.054262859
12/01/2012,28.4,-0.024692613
11/01/2012,29.11,-0.059350749
10/01/2012,30.89,0.001619958
09/01/2012,30.84,-0.00839527
06/01/2012,31.1,-0.017846235
05/01/2012,31.66,0.006337157
04/01/2012,31.46,0.028697762
03/01/2012,30.57,0.04243162
30/12/2011,29.3,0.002391937
29/12/2011,29.23,0.004801107
28/12/2011,29.09,-0.032468188
27/12/2011,30.05,0.006342869
23/12/2011,29.86,0.003018617
22/12/2011,29.77,0.01796354
21/12/2011,29.24,0.002054092
20/12/2011,29.18,0.049527242
19/12/2011,27.77,-0.038846692
16/12/2011,28.87,0.012548091
15/12/2011,28.51,0.009161445
14/12/2011,28.25,-0.05375045
13/12/2011,29.81,-0.030395468
12/12/2011,30.73,-0.041433587
09/12/2011,32.03,0.022735428
08/12/2011,31.31,-0.03668698
07/12/2011,32.48,0.003701423
06/12/2011,32.36,-0.01167448
05/12/2011,32.74,0.031334966
02/12/2011,31.73,-0.008473297
01/12/2011,32,-0.020108953
30/11/2011,32.65,0.06060548
29/11/2011,30.73,0.004239367
28/11/2011,30.6,0.060971904
25/11/2011,28.79,-0.021646611
23/11/2011,29.42,-0.040305206
22/11/2011,30.63,-0.026101047
21/11/2011,31.44,-0.010756194
18/11/2011,31.78,-0.006273546
17/11/2011,31.98,-0.060661409
16/11/2011,33.98,-0.011993708
15/11/2011,34.39,0.005247825
14/11/2011,34.21,-0.078940308
11/11/2011,37.02,0.032951911
10/11/2011,35.82,0.034363739
09/11/2011,34.61,-0.068125694
08/11/2011,37.05,-0.005383593
07/11/2011,37.25,-0.028841793
04/11/2011,38.34,0.028036748
03/11/2011,37.28,0.037162746
02/11/2011,35.92,0.025946182
01/11/2011,35,-0.015592095
31/10/2011,35.55,-0.038354819
28/10/2011,36.94,0.043148286
27/10/2011,35.38,0.039786164
26/10/2011,34,0.079552632
25/10/2011,31.4,-0.059049759
24/10/2011,33.31,0.013905907
21/10/2011,32.85,0.034689139
20/10/2011,31.73,-0.024285129
19/10/2011,32.51,-0.018891482
18/10/2011,33.13,0.067420222
17/10/2011,30.97,0.005179681
14/10/2011,30.81,0.047525142
13/10/2011,29.38,0.030410083
12/10/2011,28.5,0.012356733
11/10/2011,28.15,-0.011303547
10/10/2011,28.47,0.037213596
07/10/2011,27.43,-0.037915844
06/10/2011,28.49,0.005278914
05/10/2011,28.34,0.074325139
04/10/2011,26.31,0.058299315
03/10/2011,24.82,-0.086776324
30/09/2011,27.07,-0.029483482
29/09/2011,27.88,0.006116227
28/09/2011,27.71,-0.065305098
27/09/2011,29.58,0.060265491
26/09/2011,27.85,0.012646962
23/09/2011,27.5,-0.035016082
22/09/2011,28.48,-0.097287284
21/09/2011,31.39,-0.053647959
20/09/2011,33.12,0.006968669
19/09/2011,32.89,-0.026404174
16/09/2011,33.77,-0.010310888
15/09/2011,34.12,0.02402607
14/09/2011,33.31,0.015429137
13/09/2011,32.8,0.003359295
12/09/2011,32.69,-0.00792204
09/09/2011,32.95,-0.044517737
08/09/2011,34.45,-0.01669584
07/09/2011,35.03,0.037817188
06/09/2011,33.73,-0.009148655
02/09/2011,34.04,-0.031234465
01/09/2011,35.12,-0.002559364
31/08/2011,35.21,0.016898583
30/08/2011,34.62,0.000577868
29/08/2011,34.6,0.01514298
26/08/2011,34.08,0.020753784
25/08/2011,33.38,-0.043669942
24/08/2011,34.87,0.003447289
23/08/2011,34.75,0.026831589
22/08/2011,33.83,-0.001772003
19/08/2011,33.89,0.002067642
18/08/2011,33.82,-0.067177702
17/08/2011,36.17,-0.010177505
16/08/2011,36.54,-0.011969675
15/08/2011,36.98,0.031312638
12/08/2011,35.84,-0.014404681
11/08/2011,36.36,0.049904646
10/08/2011,34.59,-0.041896872
09/08/2011,36.07,0.059395131
08/08/2011,33.99,-0.09453425
05/08/2011,37.36,-0.036530142
04/08/2011,38.75,-0.095662024
03/08/2011,42.64,0.003053437
02/08/2011,42.51,-0.037173852
01/08/2011,44.12,0.00659468
29/07/2011,43.83,0.000684697
28/07/2011,43.8,0.018433702
27/07/2011,43,-0.048790164
26/07/2011,45.15,0.00332779
25/07/2011,45,0.007136516
22/07/2011,44.68,0.017839471
21/07/2011,43.89,0.031476794
20/07/2011,42.53,0.015640129
19/07/2011,41.87,0.023195048
18/07/2011,40.91,-0.015041526
15/07/2011,41.53,0.038787385
14/07/2011,39.95,-0.008474627
13/07/2011,40.29,0.001490313
12/07/2011,40.23,-0.006195039
11/07/2011,40.48,-0.035432
08/07/2011,41.94,-0.01326405
07/07/2011,42.5,0.018763168
06/07/2011,41.71,-0.011679313
05/07/2011,42.2,-0.011075876
01/07/2011,42.67,0.019882312
30/06/2011,41.83,0.001674842
29/06/2011,41.76,0.002637575
28/06/2011,41.65,0.020129211
27/06/2011,40.82,0.007376478
24/06/2011,40.52,0.014667758
23/06/2011,39.93,0.00855136
22/06/2011,39.59,-0.000252557
21/06/2011,39.6,0.020408872
20/06/2011,38.8,0.00516797
17/06/2011,38.6,-0.007999011
16/06/2011,38.91,-0.00742546
15/06/2011,39.2,-0.021701583
14/06/2011,40.06,0.017628258
13/06/2011,39.36,-0.013124873
10/06/2011,39.88,-0.002004009
09/06/2011,39.96,0.000250282
08/06/2011,39.95,-0.000500501
07/06/2011,39.97,-0.008966436
06/06/2011,40.33,-0.042001561
03/06/2011,42.06,0.000951475
02/06/2011,42.02,-0.001902045
01/06/2011,42.1,-0.032713197
31/05/2011,43.5,0.022786385
27/05/2011,42.52,-0.000235156
26/05/2011,42.53,0.008975025
25/05/2011,42.15,0.015541257
24/05/2011,41.5,0
23/05/2011,41.5,-0.0095924
20/05/2011,41.9,0.014423327
19/05/2011,41.3,0.006315299
18/05/2011,41.04,0.001219066
17/05/2011,40.99,0.004400985
16/05/2011,40.81,0.010097364
13/05/2011,40.4,0.010700612
12/05/2011,39.97,-0.008718451
11/05/2011,40.32,-0.038676838
10/05/2011,41.91,-0.000238578
09/05/2011,41.92,0.017567532
06/05/2011,41.19,0.019613279
05/05/2011,40.39,-0.011324592
04/05/2011,40.85,-0.003665245
03/05/2011,41,-0.031687721
02/05/2011,42.32,-0.009641462
29/04/2011,42.73,0.029689866
28/04/2011,41.48,0.012371292
27/04/2011,40.97,0.034768836
