Date,Close,VTR
26/08/2011,51,0.012628424
25/08/2011,50.36,-0.016542323
24/08/2011,51.2,0.016343772
23/08/2011,50.37,0.031665447
22/08/2011,48.8,0.022589293
19/08/2011,47.71,0.003779929
18/08/2011,47.53,-0.038791742
17/08/2011,49.41,0.006293798
16/08/2011,49.1,-0.010534943
15/08/2011,49.62,0.043664267
12/08/2011,47.5,0.006547705
11/08/2011,47.19,0.047741763
10/08/2011,44.99,-0.055341546
09/08/2011,47.55,0.078501659
08/08/2011,43.96,-0.080182685
05/08/2011,47.63,-0.017482235
04/08/2011,48.47,-0.043599236
03/08/2011,50.63,-0.015871794
02/08/2011,51.44,-0.015049483
01/08/2011,52.22,-0.035922998
29/07/2011,54.13,0.002774953
28/07/2011,53.98,-0.006094764
27/07/2011,54.31,-0.016073405
26/07/2011,55.19,0.003085022
25/07/2011,55.02,-0.008686265
22/07/2011,55.5,0.002706362
21/07/2011,55.35,0.017864128
20/07/2011,54.37,0.007384195
19/07/2011,53.97,0.008746683
18/07/2011,53.5,-0.002799815
15/07/2011,53.65,0.011246604
14/07/2011,53.05,-0.006201279
13/07/2011,53.38,-0.010621548
12/07/2011,53.95,0.00464469
11/07/2011,53.7,-0.011479482
08/07/2011,54.32,-0.003308218
07/07/2011,54.5,0.00718169
06/07/2011,54.11,0.005188079
05/07/2011,53.83,0.001673329
01/07/2011,53.74,0.019352412
30/06/2011,52.71,-0.016184019
29/06/2011,53.57,-0.000186654
28/06/2011,53.58,0.012394525
27/06/2011,52.92,0.003217567
24/06/2011,52.75,-0.0037843
23/06/2011,52.95,-0.013506114
22/06/2011,53.67,-0.002976746
21/06/2011,53.83,0.012148547
20/06/2011,53.18,0.009256702
17/06/2011,52.69,0.006282743
16/06/2011,52.36,0.010173809
15/06/2011,51.83,-0.016836059
14/06/2011,52.71,0.026919526
13/06/2011,51.31,0.002146133
10/06/2011,51.2,-0.03171818
09/06/2011,52.85,-0.006600684
08/06/2011,53.2,-0.01251534
07/06/2011,53.87,0.004465124
06/06/2011,53.63,-0.016092089
03/06/2011,54.5,-0.001466814
02/06/2011,54.58,-0.011838769
01/06/2011,55.23,-0.020962875
31/05/2011,56.4,0.016807118
27/05/2011,55.46,0.006512324
26/05/2011,55.1,0.006372347
25/05/2011,54.75,-0.001642486
24/05/2011,54.84,0.008791265
23/05/2011,54.36,-0.008061605
20/05/2011,54.8,-0.002005287
19/05/2011,54.91,-0.007439026
18/05/2011,55.32,0.012185292
17/05/2011,54.65,0.003850037
16/05/2011,54.44,0.005341204
13/05/2011,54.15,-0.021557283
12/05/2011,55.33,0.007984074
11/05/2011,54.89,0.001458524
10/05/2011,54.81,0.005488488
09/05/2011,54.51,-0.000550206
06/05/2011,54.54,-0.017088218
05/05/2011,55.48,-0.010578315
04/05/2011,56.07,-0.006045538
03/05/2011,56.41,-0.003362537
02/05/2011,56.6,0.011908076
29/04/2011,55.93,-0.014554748
28/04/2011,56.75,0.005477529
27/04/2011,56.44,0.003727705
26/04/2011,56.23,0.01000902
25/04/2011,55.67,0.001258201
21/04/2011,55.6,-0.004307257
20/04/2011,55.84,0.012796426
19/04/2011,55.13,0.001088929
18/04/2011,55.07,-0.011554561
15/04/2011,55.71,0.014646316
14/04/2011,54.9,0.009333035
13/04/2011,54.39,-0.001653348
12/04/2011,54.48,0.009961344
11/04/2011,53.94,0.007256521
08/04/2011,53.55,-0.002610968
07/04/2011,53.69,-0.006867776
06/04/2011,54.06,-0.006637193
05/04/2011,54.42,0.001471129
04/04/2011,54.34,0.004056801
01/04/2011,54.12,-0.003320424
31/03/2011,54.3,0.01018056
30/03/2011,53.75,0.020297634
29/03/2011,52.67,0.003232864
28/03/2011,52.5,0.007456301
25/03/2011,52.11,0.007705683
24/03/2011,51.71,0.003487024
23/03/2011,51.53,-0.015023395
22/03/2011,52.31,-0.012349354
21/03/2011,52.96,0.012349354
18/03/2011,52.31,0.007098351
17/03/2011,51.94,0.01142427
16/03/2011,51.35,-0.019668972
15/03/2011,52.37,-0.006281547
14/03/2011,52.7,-0.003787883
11/03/2011,52.9,0.007971194
10/03/2011,52.48,0.000953198
09/03/2011,52.43,-0.01213285
08/03/2011,53.07,0.009466182
07/03/2011,52.57,-0.004933596
04/03/2011,52.83,-0.005850729
03/03/2011,53.14,0.021878548
02/03/2011,51.99,-0.019429183
01/03/2011,53.01,-0.044459964
28/02/2011,55.42,-0.031438518
25/02/2011,57.19,0.018708629
24/02/2011,56.13,0.000178174
23/02/2011,56.12,0.004285721
22/02/2011,55.88,-0.008553153
