Date,Close,IPG
12/12/2011,9.46,-0.012605209
09/12/2011,9.58,0.033973543
08/12/2011,9.26,-0.04021706
07/12/2011,9.64,0.001037883
06/12/2011,9.63,-0.013409175
05/12/2011,9.76,0.022798915
02/12/2011,9.54,0.002098637
01/12/2011,9.52,0.014815086
30/11/2011,9.38,0.059292886
29/11/2011,8.84,0.005672165
28/11/2011,8.79,0.044193238
25/11/2011,8.41,0.010759219
23/11/2011,8.32,-0.050391446
22/11/2011,8.75,-0.013621096
21/11/2011,8.87,-0.010095431
18/11/2011,8.96,-0.026433257
17/11/2011,9.2,-0.02256947
16/11/2011,9.41,-0.001062135
15/11/2011,9.42,-0.001061008
14/11/2011,9.43,-0.015781495
11/11/2011,9.58,0.027514963
10/11/2011,9.32,0.003224076
09/11/2011,9.29,-0.044217729
08/11/2011,9.71,0.001030397
07/11/2011,9.7,0.002063984
04/11/2011,9.68,-0.004123717
03/11/2011,9.72,0.038809275
02/11/2011,9.35,0.038151766
01/11/2011,9,-0.051959739
31/10/2011,9.48,-0.045368605
28/10/2011,9.92,0.106256975
27/10/2011,8.92,0.036533743
26/10/2011,8.6,0.024721683
25/10/2011,8.39,-0.04201318
24/10/2011,8.75,0.037256928
21/10/2011,8.43,0.015541257
20/10/2011,8.3,0.029341958
19/10/2011,8.06,0.008722797
18/10/2011,7.99,0.071319911
17/10/2011,7.44,-0.073819912
14/10/2011,8.01,0.015094626
13/10/2011,7.89,-0.039756789
12/10/2011,8.21,0.02092384
11/10/2011,8.04,0.023915551
10/10/2011,7.85,0.032365285
07/10/2011,7.6,-0.024692613
06/10/2011,7.79,0.023377688
05/10/2011,7.61,0.021249139
04/10/2011,7.45,0.069472373
03/10/2011,6.95,-0.035339366
30/09/2011,7.2,-0.028749413
29/09/2011,7.41,0.019074148
28/09/2011,7.27,-0.08437149
27/09/2011,7.91,0.059913749
26/09/2011,7.45,0.028592826
23/09/2011,7.24,0
22/09/2011,7.24,-0.057695409
21/09/2011,7.67,-0.058244308
20/09/2011,8.13,0.079325458
19/09/2011,7.51,-0.058193534
16/09/2011,7.96,0
15/09/2011,7.96,0.015190165
14/09/2011,7.84,0.025841231
13/09/2011,7.64,0.025183571
12/09/2011,7.45,-0.005354765
09/09/2011,7.49,-0.034124046
08/09/2011,7.75,-0.031748698
07/09/2011,8,0.05260995
06/09/2011,7.59,-0.03368194
02/09/2011,7.85,-0.044839392
01/09/2011,8.21,-0.049891582
31/08/2011,8.63,-0.004624286
30/08/2011,8.67,0.001154068
29/08/2011,8.66,0.06932285
26/08/2011,8.08,0.012453461
25/08/2011,7.98,-0.030847603
24/08/2011,8.23,-0.007263954
23/08/2011,8.29,0.063493631
22/08/2011,7.78,0.005154651
19/08/2011,7.74,-0.014111844
18/08/2011,7.85,-0.092410787
17/08/2011,8.61,-0.020690393
16/08/2011,8.79,-0.012436565
15/08/2011,8.9,0.029648694
12/08/2011,8.64,0.012813221
11/08/2011,8.53,0.077993227
10/08/2011,7.89,-0.032421792
09/08/2011,8.15,0.08444913
08/08/2011,7.49,-0.111085087
05/08/2011,8.37,-0.043256305
04/08/2011,8.74,-0.070669573
03/08/2011,9.38,0.036920589
02/08/2011,9.04,-0.056974031
01/08/2011,9.57,-0.024769068
29/07/2011,9.81,-0.032099045
28/07/2011,10.13,-0.177704134
27/07/2011,12.1,-0.031722872
26/07/2011,12.49,-0.003197445
25/07/2011,12.53,-0.010321648
22/07/2011,12.66,0.017530329
21/07/2011,12.44,0.006451635
20/07/2011,12.36,-0.016051709
19/07/2011,12.56,0.057345767
18/07/2011,11.86,-0.021685587
15/07/2011,12.12,0.016639319
14/07/2011,11.92,-0.019934215
13/07/2011,12.16,-0.013883441
12/07/2011,12.33,-0.002430135
11/07/2011,12.36,-0.028710106
08/07/2011,12.72,-0.00938974
07/07/2011,12.84,0.01966245
06/07/2011,12.59,-0.012628424
05/07/2011,12.75,0.003142186
01/07/2011,12.71,0.016660441
30/06/2011,12.5,0.025933382
29/06/2011,12.18,0.00824407
28/06/2011,12.08,0.035387012
27/06/2011,11.66,0.01730147
24/06/2011,11.46,-0.013004084
23/06/2011,11.61,-0.000860956
22/06/2011,11.62,-0.016218879
21/06/2011,11.81,0.0309569
20/06/2011,11.45,0.007891317
17/06/2011,11.36,-0.005267791
16/06/2011,11.42,-0.017361547
15/06/2011,11.62,-0.011976191
14/06/2011,11.76,0.019751608
13/06/2011,11.53,0.002605299
10/06/2011,11.5,-0.034191365
09/06/2011,11.9,0.062411932
08/06/2011,11.18,-0.019486888
07/06/2011,11.4,0.013245227
06/06/2011,11.25,-0.013245227
03/06/2011,11.4,-0.00873368
02/06/2011,11.5,-0.000869187
01/06/2011,11.51,-0.035840013
31/05/2011,11.93,0.005884843
27/05/2011,11.86,0.005919679
26/05/2011,11.79,0.00595493
25/05/2011,11.72,0.015477523
24/05/2011,11.54,-0.01803398
23/05/2011,11.75,-0.01184447
20/05/2011,11.89,0.001683502
19/05/2011,11.87,0.013571031
18/05/2011,11.71,0.04900368
17/05/2011,11.15,-0.001792115
16/05/2011,11.17,-0.03431925
13/05/2011,11.56,0.014815086
12/05/2011,11.39,0.016821999
11/05/2011,11.2,-0.008888947
10/05/2011,11.3,0.012466769
09/05/2011,11.16,-0.014235116
06/05/2011,11.32,0.008873173
05/05/2011,11.22,-0.004446428
04/05/2011,11.27,-0.015845402
03/05/2011,11.45,0.004376375
02/05/2011,11.4,-0.030239885
29/04/2011,11.75,0.001703578
28/04/2011,11.73,-0.057158414
27/04/2011,12.42,0.024451096
26/04/2011,12.12,-0.010668956
25/04/2011,12.25,-0.007320081
21/04/2011,12.34,0.043899388
20/04/2011,11.81,0.003392709
19/04/2011,11.77,0.002552107
18/04/2011,11.74,-0.0118545
15/04/2011,11.88,-0.006711435
14/04/2011,11.96,-0.005004181
13/04/2011,12.02,0.007515693
12/04/2011,11.93,-0.003347283
11/04/2011,11.97,-0.010801933
08/04/2011,12.1,-0.018829865
07/04/2011,12.33,-0.006467282
06/04/2011,12.41,-0.012014562
05/04/2011,12.56,-0.005557775
04/04/2011,12.63,0.000792079
01/04/2011,12.62,0.003969835
31/03/2011,12.57,0.015230755
30/03/2011,12.38,0.022876815
29/03/2011,12.1,-0.000826105
28/03/2011,12.11,0.000826105
25/03/2011,12.1,0.009132484
24/03/2011,11.99,0.008375258
23/03/2011,11.89,-0.005870038
22/03/2011,11.96,-0.018227514
21/03/2011,12.18,0.021577601
18/03/2011,11.92,-0.008354267
17/03/2011,12.02,0.022718689
16/03/2011,11.75,-0.025211419
15/03/2011,12.05,-0.031048246
14/03/2011,12.43,-0.02227618
11/03/2011,12.71,0.000787092
10/03/2011,12.7,-0.028717534
09/03/2011,13.07,-0.000764818
08/03/2011,13.08,0.018519048
07/03/2011,12.84,-0.014689093
04/03/2011,13.03,0.000767754
03/03/2011,13.02,0.016260521
02/03/2011,12.81,0.015735966
01/03/2011,12.61,-0.04572668
28/02/2011,13.2,0.048903807
25/02/2011,12.57,0.078585271
24/02/2011,11.62,0.008643096
23/02/2011,11.52,-0.032453745
22/02/2011,11.9,-0.060327989
18/02/2011,12.64,0.007145723
17/02/2011,12.55,0.007197152
16/02/2011,12.46,0.007249327
15/02/2011,12.37,0.005674924
14/02/2011,12.3,-0.000812678
11/02/2011,12.31,0.037240547
10/02/2011,11.86,0.010169579
09/02/2011,11.74,-0.017729464
08/02/2011,11.95,0.019434494
07/02/2011,11.72,-0.002556456
04/02/2011,11.75,0.002556456
03/02/2011,11.72,0.068870987
02/02/2011,10.94,0.008260717
01/02/2011,10.85,0.014856355
31/01/2011,10.69,-0.002802431
28/01/2011,10.72,-0.032127591
27/01/2011,11.07,0.008163311
26/01/2011,10.98,0.008230499
25/01/2011,10.89,-0.003666365
24/01/2011,10.93,-0.000914495
21/01/2011,10.94,0.000914495
20/01/2011,10.93,-0.010013739
19/01/2011,11.04,-0.022392337
18/01/2011,11.29,0.01697227
14/01/2011,11.1,-0.002699057
13/01/2011,11.13,0
12/01/2011,11.13,0.005405419
11/01/2011,11.07,-0.008992866
10/01/2011,11.17,0.005386009
07/01/2011,11.11,0.046048651
