Date,Close,LH
08/08/2012,89,0.012322806
07/08/2012,87.91,0.002505696
06/08/2012,87.69,0.002740666
03/08/2012,87.45,0.013817146
02/08/2012,86.25,-0.018949749
01/08/2012,87.9,0.044312151
31/07/2012,84.09,-0.010175194
30/07/2012,84.95,-0.00305595
27/07/2012,85.21,0.002467541
26/07/2012,85,0.009100104
25/07/2012,84.23,-0.001897759
24/07/2012,84.39,0.000592663
23/07/2012,84.34,-0.010849163
20/07/2012,85.26,-0.032994111
19/07/2012,88.12,-0.060758121
18/07/2012,93.64,0.011708604
17/07/2012,92.55,-0.022119831
16/07/2012,94.62,-0.006636144
13/07/2012,95.25,0.016620295
12/07/2012,93.68,0.005780982
11/07/2012,93.14,0.00236483
10/07/2012,92.92,0.007887243
09/07/2012,92.19,0.002389228
06/07/2012,91.97,0.000979059
05/07/2012,91.88,-0.011793483
03/07/2012,92.97,0.007991403
02/07/2012,92.23,-0.00411167
29/06/2012,92.61,0.006173862
28/06/2012,92.04,0.02943821
27/06/2012,89.37,0.002801279
26/06/2012,89.12,0.010830431
25/06/2012,88.16,-0.01161558
22/06/2012,89.19,0.017075102
21/06/2012,87.68,-0.016738685
20/06/2012,89.16,0.008786809
19/06/2012,88.38,0.005559667
18/06/2012,87.89,0.004447239
15/06/2012,87.5,0.004696727
14/06/2012,87.09,0.014806517
13/06/2012,85.81,0.002683939
12/06/2012,85.58,0.004098126
11/06/2012,85.23,-0.005382648
08/06/2012,85.69,0.007496814
07/06/2012,85.05,0.000588062
06/06/2012,85,0.005189915
05/06/2012,84.56,0.008551121
04/06/2012,83.84,0.017688928
01/06/2012,82.37,-0.010987131
31/05/2012,83.28,-0.023614268
30/05/2012,85.27,-0.012006905
29/05/2012,86.3,0.006626775
25/05/2012,85.73,0.010199983
24/05/2012,84.86,0.003068573
23/05/2012,84.6,-0.006010271
22/05/2012,85.11,-0.004103893
21/05/2012,85.46,0.014616007
18/05/2012,84.22,-0.014498987
17/05/2012,85.45,-0.014176394
16/05/2012,86.67,-0.000346081
15/05/2012,86.7,0.015927791
14/05/2012,85.33,-0.016158445
11/05/2012,86.72,0.009850013
10/05/2012,85.87,-0.000116448
09/05/2012,85.88,-0.013991094
08/05/2012,87.09,0.000574284
07/05/2012,87.04,0.003798566
04/05/2012,86.71,-0.004832039
03/05/2012,87.13,-0.015714284
02/05/2012,88.51,-0.001016318
01/05/2012,88.6,0.008045825
30/04/2012,87.89,0.004561531
27/04/2012,87.49,-0.000685558
26/04/2012,87.55,0.003776396
25/04/2012,87.22,-0.001832761
24/04/2012,87.38,0.004243369
23/04/2012,87.01,-0.006643782
20/04/2012,87.59,-0.014057595
19/04/2012,88.83,-0.020612395
18/04/2012,90.68,-0.009220702
17/04/2012,91.52,0.037631068
16/04/2012,88.14,-0.004302056
13/04/2012,88.52,-0.011233549
12/04/2012,89.52,-0.000223389
11/04/2012,89.54,0.004252944
10/04/2012,89.16,-0.009266045
09/04/2012,89.99,-0.035478261
05/04/2012,93.24,0.000536394
04/04/2012,93.19,-0.011098182
03/04/2012,94.23,0.012494156
02/04/2012,93.06,0.016468411
30/03/2012,91.54,0.001858838
29/03/2012,91.37,0.002410696
28/03/2012,91.15,-0.005033935
27/03/2012,91.61,-0.003160593
26/03/2012,91.9,0.026797656
23/03/2012,89.47,-0.006794791
22/03/2012,90.08,-0.01213741
21/03/2012,91.18,0.017815132
20/03/2012,89.57,-0.00623263
19/03/2012,90.13,-0.002216559
16/03/2012,90.33,-0.002984582
15/03/2012,90.6,0.003870616
14/03/2012,90.25,0.015408969
13/03/2012,88.87,0.006094827
12/03/2012,88.33,-0.004630945
09/03/2012,88.74,0.001127523
08/03/2012,88.64,-0.003378762
07/03/2012,88.94,0.001462729
06/03/2012,88.81,-0.007292342
05/03/2012,89.46,0.001566171
02/03/2012,89.32,0.002915127
01/03/2012,89.06,-0.009276401
29/02/2012,89.89,-0.010182711
28/02/2012,90.81,0.01007147
27/02/2012,89.9,0.009163099
24/02/2012,89.08,0.012198028
23/02/2012,88,-0.00056802
22/02/2012,88.05,0.003412973
21/02/2012,87.75,-0.002162901
17/02/2012,87.94,-0.001477189
16/02/2012,88.07,0.006950407
15/02/2012,87.46,-0.019699494
14/02/2012,89.2,0.003931485
13/02/2012,88.85,-0.013193394
10/02/2012,90.03,-0.022840567
09/02/2012,92.11,0.00130364
08/02/2012,91.99,0.000434924
07/02/2012,91.95,0.010385445
06/02/2012,91,-0.022707261
03/02/2012,93.09,0.007223362
02/02/2012,92.42,-0.000865239
01/02/2012,92.5,0.012072581
31/01/2012,91.39,0.005156064
30/01/2012,90.92,-0.004389823
27/01/2012,91.32,0.002851192
26/01/2012,91.06,-0.007875779
25/01/2012,91.78,0.006558834
24/01/2012,91.18,0.025210953
23/01/2012,88.91,0.003041399
20/01/2012,88.64,-0.002141208
19/01/2012,88.83,0.004060919
18/01/2012,88.47,-0.000790916
17/01/2012,88.54,0.018236202
13/01/2012,86.94,-0.007220248
12/01/2012,87.57,0.002057614
11/01/2012,87.39,-0.00354104
10/01/2012,87.7,0.006865016
09/01/2012,87.1,-0.003552809
06/01/2012,87.41,0.006196944
05/01/2012,86.87,0.004037147
04/01/2012,86.52,0.001387925
03/01/2012,86.4,0.004989278
30/12/2011,85.97,-0.005683481
29/12/2011,86.46,0.0074298
28/12/2011,85.82,-0.021441744
27/12/2011,87.68,0.004114292
23/12/2011,87.32,0.005166783
22/12/2011,86.87,0.025415217
21/12/2011,84.69,0.005327663
20/12/2011,84.24,0.031595538
19/12/2011,81.62,-0.000122511
16/12/2011,81.63,0.001225791
15/12/2011,81.53,0.001595778
14/12/2011,81.4,-0.002944065
13/12/2011,81.64,-0.008537678
12/12/2011,82.34,-0.013150941
09/12/2011,83.43,0.006131669
08/12/2011,82.92,-0.026420673
07/12/2011,85.14,-0.005505138
06/12/2011,85.61,-0.008490891
05/12/2011,86.34,0.001274845
02/12/2011,86.23,0.001508734
01/12/2011,86.1,0.004423241
30/11/2011,85.72,0.026359306
29/11/2011,83.49,0.007574428
28/11/2011,82.86,0.026413861
25/11/2011,80.7,0.001860466
23/11/2011,80.55,0.002237137
22/11/2011,80.37,0.013402844
21/11/2011,79.3,-0.021087562
18/11/2011,80.99,0.005199318
17/11/2011,80.57,-0.024762236
16/11/2011,82.59,-0.015021613
15/11/2011,83.84,-0.002382655
14/11/2011,84.04,0.002740544
11/11/2011,83.81,0.022199005
10/11/2011,81.97,0.015614751
09/11/2011,80.7,-0.043168681
08/11/2011,84.26,0.015548693
07/11/2011,82.96,0.013714639
04/11/2011,81.83,-0.010212855
03/11/2011,82.67,0.010824064
02/11/2011,81.78,0.008226457
01/11/2011,81.11,-0.03322323
31/10/2011,83.85,-0.03538326
28/10/2011,86.87,0.015428645
27/10/2011,85.54,0.025335793
26/10/2011,83.4,-0.008001476
25/10/2011,84.07,0.011966159
24/10/2011,83.07,0.010041824
21/10/2011,82.24,0.012357165
20/10/2011,81.23,-0.008702635
19/10/2011,81.94,-0.007780248
18/10/2011,82.58,0.028246997
17/10/2011,80.28,-0.002239643
14/10/2011,80.46,0.021354913
13/10/2011,78.76,-0.020484537
12/10/2011,80.39,0.016050501
11/10/2011,79.11,-0.016672276
10/10/2011,80.44,0.026580894
07/10/2011,78.33,0.003068664
06/10/2011,78.09,0.027260255
05/10/2011,75.99,-0.023282576
04/10/2011,77.78,0.023019418
03/10/2011,76.01,-0.039215653
30/09/2011,79.05,-0.019418086
29/09/2011,80.6,-0.001239926
28/09/2011,80.7,-0.032909734
27/09/2011,83.4,0.012791293
26/09/2011,82.34,0.033089439
23/09/2011,79.66,0.010093449
22/09/2011,78.86,-0.015726562
21/09/2011,80.11,-0.029761173
20/09/2011,82.53,0.005711177
19/09/2011,82.06,-0.016437402
16/09/2011,83.42,0.012059963
15/09/2011,82.42,-0.008336906
14/09/2011,83.11,0.01442187
13/09/2011,81.92,-0.002438431
12/09/2011,82.12,0.013485554
09/09/2011,81.02,-0.056040095
08/09/2011,85.69,-0.004540964
07/09/2011,86.08,0.039573935
06/09/2011,82.74,0.018418524
02/09/2011,81.23,-0.015392437
01/09/2011,82.49,-0.012528775
31/08/2011,83.53,0.004319143
30/08/2011,83.17,0.003372278
29/08/2011,82.89,0.027519623
26/08/2011,80.64,0.017387392
25/08/2011,79.25,-0.014904152
24/08/2011,80.44,0.011754543
23/08/2011,79.5,0.028063066
22/08/2011,77.3,-0.022892489
19/08/2011,79.09,-0.010940065
18/08/2011,79.96,-0.04104208
17/08/2011,83.31,-0.009913488
16/08/2011,84.14,-0.007105667
