Date,Close,VFC
08/08/2011,103.88,-0.069621605
05/08/2011,111.37,0.020409797
04/08/2011,109.12,-0.048912346
03/08/2011,114.59,0.016631119
02/08/2011,112.7,-0.03427711
01/08/2011,116.63,-0.00145654
29/07/2011,116.8,-0.002223553
28/07/2011,117.06,0.01749366
27/07/2011,115.03,-0.022266125
26/07/2011,117.62,-0.012252466
25/07/2011,119.07,-0.011938197
22/07/2011,120.5,-0.00455393
21/07/2011,121.05,0.056153015
20/07/2011,114.44,-0.008440337
19/07/2011,115.41,0.022431502
18/07/2011,112.85,0.008900815
15/07/2011,111.85,-0.017723105
14/07/2011,113.85,-0.010050336
13/07/2011,115,-0.000521603
12/07/2011,115.06,0.012770225
11/07/2011,113.6,0.002467831
08/07/2011,113.32,-0.002291759
07/07/2011,113.58,0.020997213
06/07/2011,111.22,0.001079525
05/07/2011,111.1,-0.002786393
01/07/2011,111.41,0.025914075
30/06/2011,108.56,0.008696511
29/06/2011,107.62,0.006619145
28/06/2011,106.91,0.017646129
27/06/2011,105.04,-0.000951565
24/06/2011,105.14,0.006392847
23/06/2011,104.47,-0.000478492
22/06/2011,104.52,-0.009711587
21/06/2011,105.54,0.005987188
20/06/2011,104.91,0.020317487
17/06/2011,102.8,0.018060954
16/06/2011,100.96,0.001189296
15/06/2011,100.84,-0.009376765
14/06/2011,101.79,0.007692346
13/06/2011,101.01,0.095607224
10/06/2011,91.8,-0.015135424
09/06/2011,93.2,0.015462275
08/06/2011,91.77,-0.022731924
07/06/2011,93.88,-0.000213015
06/06/2011,93.9,-0.011751763
03/06/2011,95.01,-0.009010958
02/06/2011,95.87,-0.01388048
01/06/2011,97.21,-0.024991142
31/05/2011,99.67,0.008564716
27/05/2011,98.82,0.008434581
26/05/2011,97.99,0.025320425
25/05/2011,95.54,-0.020922565
24/05/2011,97.56,0.000512637
23/05/2011,97.51,0.000718133
20/05/2011,97.44,-0.047597022
19/05/2011,102.19,0.00579029
18/05/2011,101.6,0.01357599
17/05/2011,100.23,-0.004280956
16/05/2011,100.66,-0.003570016
13/05/2011,101.02,-0.013079795
12/05/2011,102.35,0.024328732
11/05/2011,99.89,-0.006088147
10/05/2011,100.5,0.005988042
09/05/2011,99.9,0.001703151
06/05/2011,99.73,-0.008089124
05/05/2011,100.54,0.016244216
04/05/2011,98.92,-0.000303229
03/05/2011,98.95,-0.010755494
02/05/2011,100.02,-0.005384398
29/04/2011,100.56,-0.077469177
28/04/2011,108.66,0.010639875
27/04/2011,107.51,0.023528283
26/04/2011,105.01,0.010530444
25/04/2011,103.91,0.003953527
21/04/2011,103.5,-0.0006761
20/04/2011,103.57,0.027704772
19/04/2011,100.74,0.016009948
18/04/2011,99.14,-0.018092352
15/04/2011,100.95,0.006958279
14/04/2011,100.25,0.002196925
13/04/2011,100.03,0.006821172
12/04/2011,99.35,0.000604108
11/04/2011,99.29,0.020554244
08/04/2011,97.27,-0.012159757
07/04/2011,98.46,0.001931582
06/04/2011,98.27,-0.008006935
05/04/2011,99.06,0.004350252
04/04/2011,98.63,-0.002733764
01/04/2011,98.9,0.003748168
31/03/2011,98.53,-0.006474479
30/03/2011,99.17,0.028536838
29/03/2011,96.38,0.017267971
28/03/2011,94.73,-0.00725746
25/03/2011,95.42,0.002728515
24/03/2011,95.16,0.008760413
23/03/2011,94.33,0.005634417
22/03/2011,93.8,-0.001384968
21/03/2011,93.93,0.009950331
18/03/2011,93,-0.016635061
17/03/2011,94.56,0.000317309
16/03/2011,94.53,-0.014597266
15/03/2011,95.92,-0.006650066
14/03/2011,96.56,-0.016536093
11/03/2011,98.17,0.012711601
10/03/2011,96.93,-0.007400589
09/03/2011,97.65,0.009879673
08/03/2011,96.69,-0.000620347
07/03/2011,96.75,0.011016532
04/03/2011,95.69,0.00020903
03/03/2011,95.67,0.017184546
02/03/2011,94.04,-0.001699958
01/03/2011,94.2,-0.015484588
28/02/2011,95.67,-0.003235067
25/02/2011,95.98,-0.000208355
24/02/2011,96,0.009103814
23/02/2011,95.13,-0.014505864
22/02/2011,96.52,0.072165265
18/02/2011,89.8,0.024689829
17/02/2011,87.61,0.011248971
16/02/2011,86.63,-0.001730004
15/02/2011,86.78,-0.001611975
14/02/2011,86.92,-0.002413101
11/02/2011,87.13,-0.004694576
10/02/2011,87.54,-0.00660369
09/02/2011,88.12,0.008089829
08/02/2011,87.41,0.010580892
07/02/2011,86.49,-0.005074397
04/02/2011,86.93,0.029180408
03/02/2011,84.43,0.007251146
02/02/2011,83.82,-0.003572708
01/02/2011,84.12,0.01678294
31/01/2011,82.72,0.015472076
28/01/2011,81.45,-0.01450449
27/01/2011,82.64,-0.00048391
26/01/2011,82.68,0.016339834
25/01/2011,81.34,-0.014645124
24/01/2011,82.54,0.005832337
21/01/2011,82.06,-0.018592833
20/01/2011,83.6,0.006480282
19/01/2011,83.06,0.003376752
18/01/2011,82.78,-0.014034897
14/01/2011,83.95,0.019242927
13/01/2011,82.35,-0.008223532
12/01/2011,83.03,0.003257135
11/01/2011,82.76,0.000725251
10/01/2011,82.7,0.00715979
07/01/2011,82.11,-0.017983708
06/01/2011,83.6,-0.01825344
05/01/2011,85.14,0.000940071
04/01/2011,85.06,-0.015167716
03/01/2011,86.36,0.002086473
31/12/2010,86.18,-0.007859495
30/12/2010,86.86,-0.002988852
29/12/2010,87.12,0.003103986
28/12/2010,86.85,0.002882677
27/12/2010,86.6,-0.003343135
23/12/2010,86.89,0.000460458
22/12/2010,86.85,-0.022091538
21/12/2010,88.79,-0.005951396
20/12/2010,89.32,0.001232286
17/12/2010,89.21,0.011839796
16/12/2010,88.16,0.006372347
15/12/2010,87.6,0
14/12/2010,87.6,0.001599452
13/12/2010,87.46,0.016369242
10/12/2010,86.04,0.005243851
09/12/2010,85.59,0.002456573
08/12/2010,85.38,-0.003040582
07/12/2010,85.64,0.001402197
06/12/2010,85.52,0.006569709
03/12/2010,84.96,-0.00504844
02/12/2010,85.39,0.016531254
01/12/2010,83.99,0.013303966
30/11/2010,82.88,-0.00541485
29/11/2010,83.33,-0.005863014
26/11/2010,83.82,-0.007488001
24/11/2010,84.45,0.017921627
23/11/2010,82.95,-0.005410293
22/11/2010,83.4,0.010244139
