Date,Close,SNDK
18/08/2011,33.64,-0.07499937
17/08/2011,36.26,-0.02101319
16/08/2011,37.03,-0.031107121
15/08/2011,38.2,0.002883735
12/08/2011,38.09,-0.005498116
11/08/2011,38.3,0.047863701
10/08/2011,36.51,-0.03815616
09/08/2011,37.93,0.050558138
08/08/2011,36.06,-0.086549078
05/08/2011,39.32,-0.007853112
04/08/2011,39.63,-0.070858403
03/08/2011,42.54,0.04495409
02/08/2011,40.67,-0.034794522
01/08/2011,42.11,-0.009924467
29/07/2011,42.53,0.006368697
28/07/2011,42.26,0.006171394
27/07/2011,42,-0.043105101
26/07/2011,43.85,-0.000683917
25/07/2011,43.88,-0.03779097
22/07/2011,45.57,0.091870852
21/07/2011,41.57,0.002408479
20/07/2011,41.47,-0.01222304
19/07/2011,41.98,0.03589134
18/07/2011,40.5,-0.027278847
15/07/2011,41.62,0.01111391
14/07/2011,41.16,-0.017341475
13/07/2011,41.88,0.016855684
12/07/2011,41.18,-0.014225677
11/07/2011,41.77,-0.029951537
08/07/2011,43.04,-0.013385845
07/07/2011,43.62,0.014083114
06/07/2011,43.01,-0.010178205
05/07/2011,43.45,0.015072749
01/07/2011,42.8,0.030844675
30/06/2011,41.5,0.024638397
29/06/2011,40.49,-0.006891487
28/06/2011,40.77,0.010107321
27/06/2011,40.36,0.035817196
24/06/2011,38.94,-0.096383517
23/06/2011,42.88,0.007960707
22/06/2011,42.54,-0.00749418
21/06/2011,42.86,0.025281914
20/06/2011,41.79,0.020549496
17/06/2011,40.94,-0.031260059
16/06/2011,42.24,0.001421464
15/06/2011,42.18,-0.02389432
14/06/2011,43.2,0.017513582
13/06/2011,42.45,-0.001882797
10/06/2011,42.53,0
09/06/2011,42.53,-0.002583071
08/06/2011,42.64,-0.009569451
07/06/2011,43.05,-0.004403762
06/06/2011,43.24,-0.023315342
03/06/2011,44.26,-0.024990145
02/06/2011,45.38,0.005967528
01/06/2011,45.11,-0.052046724
31/05/2011,47.52,0.031640091
27/05/2011,46.04,0.008506977
26/05/2011,45.65,0.005271262
25/05/2011,45.41,0.007515508
24/05/2011,45.07,-0.01212938
23/05/2011,45.62,-0.01824551
20/05/2011,46.46,-0.000430385
19/05/2011,46.48,0.000645647
18/05/2011,46.45,0.002370946
17/05/2011,46.34,-0.034153282
16/05/2011,47.95,0.030921566
13/05/2011,46.49,-0.018751881
12/05/2011,47.37,-0.001898134
11/05/2011,47.46,-0.00881063
10/05/2011,47.88,0.012399024
09/05/2011,47.29,0.002964848
06/05/2011,47.15,-0.004021595
05/05/2011,47.34,0.00232632
04/05/2011,47.23,-0.004225656
03/05/2011,47.43,-0.02621873
02/05/2011,48.69,-0.013058745
29/04/2011,49.33,-0.001215559
28/04/2011,49.39,-0.023610541
27/04/2011,50.57,0.004161306
26/04/2011,50.36,0.011583912
25/04/2011,49.78,0.015997101
21/04/2011,48.99,0.011083857
20/04/2011,48.45,0.032727905
19/04/2011,46.89,0.012446513
18/04/2011,46.31,-0.010097841
15/04/2011,46.78,0.002139954
14/04/2011,46.68,0.005585407
13/04/2011,46.42,0.008871637
12/04/2011,46.01,-0.009087038
11/04/2011,46.43,-0.00729617
08/04/2011,46.77,-0.027208259
07/04/2011,48.06,0.010668441
06/04/2011,47.55,-0.001890955
05/04/2011,47.64,0.022072203
04/04/2011,46.6,0.023668459
01/04/2011,45.51,-0.012663925
31/03/2011,46.09,0.014863662
30/03/2011,45.41,-0.009860932
29/03/2011,45.86,0.01250702
28/03/2011,45.29,0.00620157
25/03/2011,45.01,0.007134924
24/03/2011,44.69,0.027908788
23/03/2011,43.46,-0.000690052
22/03/2011,43.49,-0.014835374
21/03/2011,44.14,0.018982846
18/03/2011,43.31,0.006253639
17/03/2011,43.04,0.022319733
16/03/2011,42.09,-0.037995481
15/03/2011,43.72,-0.024848805
14/03/2011,44.82,-0.005562368
11/03/2011,45.07,0.003111114
10/03/2011,44.93,-0.02657453
09/03/2011,46.14,-0.01655062
08/03/2011,46.91,0.000639727
07/03/2011,46.88,-0.017130587
04/03/2011,47.69,-0.01105214
03/03/2011,48.22,0.012311058
02/03/2011,47.63,-0.002935013
01/03/2011,47.77,-0.037593006
28/02/2011,49.6,-0.011625707
25/02/2011,50.18,0.023388163
24/02/2011,49.02,0.018114946
23/02/2011,48.14,-0.014640946
22/02/2011,48.85,-0.050494613
18/02/2011,51.38,-0.006982185
17/02/2011,51.74,0.007371517
16/02/2011,51.36,0.002729579
15/02/2011,51.22,-0.027915953
14/02/2011,52.67,0.032024342
11/02/2011,51.01,0.003928506
10/02/2011,50.81,0.013473554
09/02/2011,50.13,0.006604647
08/02/2011,49.8,0.040989345
07/02/2011,47.8,-0.004800176
04/02/2011,48.03,0.008993054
03/02/2011,47.6,-0.007743054
02/02/2011,47.97,0.03133858
01/02/2011,46.49,0.024386142
31/01/2011,45.37,-0.031032109
28/01/2011,46.8,-0.092197337
27/01/2011,51.32,0.026657714
26/01/2011,49.97,0.028828631
25/01/2011,48.55,-0.042937161
24/01/2011,50.68,0.01410853
21/01/2011,49.97,0.00040032
20/01/2011,49.95,-0.030559303
19/01/2011,51.5,-0.029841541
18/01/2011,53.06,0.005480501
14/01/2011,52.77,0.026304675
13/01/2011,51.4,-0.009102416
12/01/2011,51.87,-0.006341907
11/01/2011,52.2,-0.019727499
