Date,Close,BHI
08/12/2010,53.43,0.00469
07/12/2010,53.18,-0.041077697
06/12/2010,55.41,0.006336583
03/12/2010,55.06,0.010406301
02/12/2010,54.49,0.012372053
01/12/2010,53.82,0.031329228
30/11/2010,52.16,0.026813341
29/11/2010,50.78,0.019286809
26/11/2010,49.81,-0.017710144
24/11/2010,50.7,0.026177936
23/11/2010,49.39,-0.011674851
22/11/2010,49.97,-0.003795071
19/11/2010,50.16,0.005397314
18/11/2010,49.89,0.041331578
17/11/2010,47.87,0.010077767
16/11/2010,47.39,-0.010913015
15/11/2010,47.91,-0.012651833
12/11/2010,48.52,-0.031445942
11/11/2010,50.07,-0.004185357
10/11/2010,50.28,0.015432714
09/11/2010,49.51,-0.016227943
08/11/2010,50.32,0.007580328
05/11/2010,49.94,-0.015892269
04/11/2010,50.74,0.028790473
03/11/2010,49.3,0.000405762
02/11/2010,49.28,0.018638532
01/11/2010,48.37,0.041149386
29/10/2010,46.42,0.009306419
28/10/2010,45.99,-0.010598131
27/10/2010,46.48,-0.009421911
26/10/2010,46.92,0.007272759
25/10/2010,46.58,0.000214707
22/10/2010,46.57,0.03207431
21/10/2010,45.1,-0.001993577
20/10/2010,45.19,0.021924816
19/10/2010,44.21,-0.020374599
18/10/2010,45.12,-0.01102061
15/10/2010,45.62,0.017022628
14/10/2010,44.85,-0.009100052
13/10/2010,45.26,0.011779223
12/10/2010,44.73,0.005604768
11/10/2010,44.48,-0.001796946
08/10/2010,44.56,0.018116438
07/10/2010,43.76,-0.012715884
06/10/2010,44.32,0.010205327
05/10/2010,43.87,0.024225432
04/10/2010,42.82,-0.016445072
01/10/2010,43.53,0.021596102
30/09/2010,42.6,0.011569011
29/09/2010,42.11,0.029644296
28/09/2010,40.88,0.006134236
27/09/2010,40.63,-0.010527702
24/09/2010,41.06,0.042030307
23/09/2010,39.37,-0.015625318
22/09/2010,39.99,-0.006728997
21/09/2010,40.26,-0.008163311
20/09/2010,40.59,0.017646786
17/09/2010,39.88,0.000250784
16/09/2010,39.87,-0.003005261
