Date,Close,NWL
30/09/2011,11.87,-0.005879899
29/09/2011,11.94,-0.00083717
28/09/2011,11.95,-0.023977999
27/09/2011,12.24,0.039155356
26/09/2011,11.77,0.028437935
23/09/2011,11.44,-0.011299555
22/09/2011,11.57,-0.033152207
21/09/2011,11.96,-0.0513351
20/09/2011,12.59,-0.02819294
19/09/2011,12.95,-0.003084043
16/09/2011,12.99,-0.006904515
15/09/2011,13.08,-0.000764234
14/09/2011,13.09,0.009209582
13/09/2011,12.97,0.018677586
12/09/2011,12.73,-0.006264703
09/09/2011,12.81,-0.039791018
08/09/2011,13.33,-0.027378699
07/09/2011,13.7,0.047076305
06/09/2011,13.07,-0.013678025
02/09/2011,13.25,-0.03776828
01/09/2011,13.76,-0.005797118
31/08/2011,13.84,0.021176403
30/08/2011,13.55,-0.004418269
29/08/2011,13.61,0.011082492
26/08/2011,13.46,0.017235346
25/08/2011,13.23,-0.008280062
24/08/2011,13.34,0.028128042
23/08/2011,12.97,0.02973615
22/08/2011,12.59,0.010379335
19/08/2011,12.46,0.006441246
18/08/2011,12.38,-0.049636025
17/08/2011,13.01,-0.033260814
16/08/2011,13.45,-0.016224545
15/08/2011,13.67,-0.019558755
12/08/2011,13.94,0.086880956
11/08/2011,12.78,0.101196012
10/08/2011,11.55,-0.057206513
09/08/2011,12.23,0.018152314
08/08/2011,12.01,-0.09144229
05/08/2011,13.16,0.006862398
04/08/2011,13.07,-0.101066689
03/08/2011,14.46,0.01462931
02/08/2011,14.25,-0.065853446
01/08/2011,15.22,-0.019519162
29/07/2011,15.52,0.076986815
28/07/2011,14.37,-0.021343323
27/07/2011,14.68,-0.028208721
26/07/2011,15.1,-0.000662032
25/07/2011,15.11,-0.009222727
22/07/2011,15.25,0.001969151
21/07/2011,15.22,-0.025301382
20/07/2011,15.61,0.01095019
19/07/2011,15.44,0.018961013
18/07/2011,15.15,-0.015067432
15/07/2011,15.38,0.012430647
14/07/2011,15.19,-0.007868893
13/07/2011,15.31,-0.000652955
12/07/2011,15.32,-0.01168086
11/07/2011,15.5,-0.029245568
08/07/2011,15.96,-0.006868588
07/07/2011,16.07,0.012523645
06/07/2011,15.87,-0.006281428
05/07/2011,15.97,-0.00996893
01/07/2011,16.13,0.021937577
30/06/2011,15.78,0.00891158
29/06/2011,15.64,0.004485749
28/06/2011,15.57,0.005151331
27/06/2011,15.49,-0.010915036
24/06/2011,15.66,0.019994217
23/06/2011,15.35,0.023065273
22/06/2011,15,-0.013245227
21/06/2011,15.2,0.008589415
20/06/2011,15.07,0.023498899
17/06/2011,14.72,0.013680104
16/06/2011,14.52,0.00137836
15/06/2011,14.5,-0.015058464
14/06/2011,14.72,0.006132898
13/06/2011,14.63,0.001367989
10/06/2011,14.61,-0.010214593
09/06/2011,14.76,0.028170877
08/06/2011,14.35,0.000697107
07/06/2011,14.34,-0.007641579
06/06/2011,14.45,-0.035353784
03/06/2011,14.97,-0.125398881
02/06/2011,16.97,-0.022145427
01/06/2011,17.35,-0.026167591
31/05/2011,17.81,0.009024314
27/05/2011,17.65,0.005112195
26/05/2011,17.56,0.003994299
25/05/2011,17.49,0.006884709
24/05/2011,17.37,-0.015991203
23/05/2011,17.65,-0.011827792
20/05/2011,17.86,-0.025429784
19/05/2011,18.32,0
18/05/2011,18.32,0.003280484
17/05/2011,18.26,-0.002734484
16/05/2011,18.31,-0.008700436
13/05/2011,18.47,-0.007013787
12/05/2011,18.6,-0.002148229
11/05/2011,18.64,-0.006950041
10/05/2011,18.77,0.008023579
09/05/2011,18.62,-0.001609874
06/05/2011,18.65,-0.006413705
05/05/2011,18.77,0.006413705
04/05/2011,18.65,0.010239917
03/05/2011,18.46,-0.010775966
02/05/2011,18.66,-0.021209703
29/04/2011,19.06,-0.034548422
28/04/2011,19.73,0.001521684
27/04/2011,19.7,0.023627191
26/04/2011,19.24,0.009924344
25/04/2011,19.05,-0.011482381
21/04/2011,19.27,-0.000518807
20/04/2011,19.28,0.008333382
19/04/2011,19.12,0.012102226
18/04/2011,18.89,-0.012625102
15/04/2011,19.13,0.004190682
14/04/2011,19.05,0.006319136
13/04/2011,18.93,0.006891095
12/04/2011,18.8,-0.001594473
11/04/2011,18.83,0.001062699
08/04/2011,18.81,-0.011102414
07/04/2011,19.02,-0.010980502
06/04/2011,19.23,0.000520156
05/04/2011,19.22,0.002604846
04/04/2011,19.17,-0.004164504
01/04/2011,19.25,0.006253277
31/03/2011,19.13,-0.011951298
30/03/2011,19.36,0.005178675
29/03/2011,19.26,0.000519346
28/03/2011,19.25,-0.01392852
25/03/2011,19.52,0.016008604
24/03/2011,19.21,0.005219219
23/03/2011,19.11,0.003144657
22/03/2011,19.05,-0.005757671
21/03/2011,19.16,0.015251413
18/03/2011,18.87,0.00371649
17/03/2011,18.8,0.008547061
16/03/2011,18.64,-0.02123222
15/03/2011,19.04,-0.024385125
14/03/2011,19.51,-0.001536492
11/03/2011,19.54,0.020160931
10/03/2011,19.15,-0.022205921
09/03/2011,19.58,0.004607124
08/03/2011,19.49,0.023359484
07/03/2011,19.04,-0.005760686
04/03/2011,19.15,-0.005727691
03/03/2011,19.26,0.01306525
02/03/2011,19.01,-0.002626742
01/03/2011,19.06,-0.014583592
28/02/2011,19.34,-0.004127973
25/02/2011,19.42,0.009831903
24/02/2011,19.23,-0.017015105
23/02/2011,19.56,-0.011184662
22/02/2011,19.78,-0.021506205
18/02/2011,20.21,0.005457716
17/02/2011,20.1,0.007992051
16/02/2011,19.94,0.002510672
15/02/2011,19.89,-0.002009041
14/02/2011,19.93,-0.00450564
11/02/2011,20.02,0.008024115
10/02/2011,19.86,0.009104767
09/02/2011,19.68,-0.004056801
08/02/2011,19.76,0.004056801
07/02/2011,19.68,0.003563251
04/02/2011,19.61,0.009221377
03/02/2011,19.43,0.003092786
02/02/2011,19.37,-0.005149342
01/02/2011,19.47,0.011363759
31/01/2011,19.25,-0.004664429
28/01/2011,19.34,0
27/01/2011,19.34,0.05801041
26/01/2011,18.25,0.015461379
25/01/2011,17.97,0.006140125
24/01/2011,17.86,0.008998936
21/01/2011,17.7,-0.003947003
20/01/2011,17.77,0.007342592
19/01/2011,17.64,-0.014631662
18/01/2011,17.9,0.007851975
14/01/2011,17.76,-0.001125493
13/01/2011,17.78,-0.023896664
12/01/2011,18.21,0.018847565
11/01/2011,17.87,-0.011683026
10/01/2011,18.08,0.00055325
07/01/2011,18.07,-0.012647955
06/01/2011,18.3,0.002188185
05/01/2011,18.26,0.008800937
04/01/2011,18.1,-0.008800937
03/01/2011,18.26,0.004390786
31/12/2010,18.18,0.008839837
30/12/2010,18.02,0
29/12/2010,18.02,-0.000554785
28/12/2010,18.03,-0.007184336
27/12/2010,18.16,-0.001650619
23/12/2010,18.19,-0.007121367
22/12/2010,18.32,-0.001636215
21/12/2010,18.35,0.00601259
20/12/2010,18.24,0.013245227
