Date,Close,R
21/02/2013,55.59,-0.015883264
20/02/2013,56.48,-0.019462348
19/02/2013,57.59,0.002956267
15/02/2013,57.42,-0.010912033
14/02/2013,58.05,0.006394215
13/02/2013,57.68,-0.002597179
12/02/2013,57.83,0.008160476
11/02/2013,57.36,-0.014709965
08/02/2013,58.21,-0.002059379
07/02/2013,58.33,-0.009894315
06/02/2013,58.91,0.001019022
05/02/2013,58.85,0.036688662
04/02/2013,56.73,-0.020414213
01/02/2013,57.9,0.019533234
31/01/2013,56.78,0.045396844
30/01/2013,54.26,-0.022055027
29/01/2013,55.47,-0.000900982
28/01/2013,55.52,-0.008251168
25/01/2013,55.98,-0.005877655
24/01/2013,56.31,0.020090362
23/01/2013,55.19,-0.003075534
22/01/2013,55.36,0.006524126
18/01/2013,55,0.003642991
17/01/2013,54.8,0.007877663
16/01/2013,54.37,0.000920048
15/01/2013,54.32,0.019519162
14/01/2013,53.27,0.002819816
11/01/2013,53.12,-0.001692843
10/01/2013,53.21,0.022618089
09/01/2013,52.02,0.012184659
08/01/2013,51.39,-0.005046595
07/01/2013,51.65,-0.005406462
04/01/2013,51.93,-0.000577534
03/01/2013,51.96,0.016885408
02/01/2013,51.09,0.022966759
31/12/2012,49.93,0.025148354
28/12/2012,48.69,-0.008792614
27/12/2012,49.12,-0.012140983
26/12/2012,49.72,-0.01457548
24/12/2012,50.45,0.000594825
21/12/2012,50.42,-0.007311563
20/12/2012,50.79,-0.000787247
19/12/2012,50.83,-0.002161738
18/12/2012,50.94,0.042508405
17/12/2012,48.82,-0.015850769
14/12/2012,49.6,0.006675457
13/12/2012,49.27,0.000406009
12/12/2012,49.25,0.002643084
11/12/2012,49.12,-0.004468827
10/12/2012,49.34,0.015317363
07/12/2012,48.59,0.003298292
06/12/2012,48.43,0.007669226
05/12/2012,48.06,0.007728498
04/12/2012,47.69,0.006099504
03/12/2012,47.4,0.006986373
30/11/2012,47.07,-0.010145934
29/11/2012,47.55,0.020181248
28/11/2012,46.6,0.005810842
27/11/2012,46.33,0.004543004
26/11/2012,46.12,0.002170611
23/11/2012,46.02,0.009168368
21/11/2012,45.6,0.003735037
20/11/2012,45.43,0.001321586
19/11/2012,45.37,0.025673918
16/11/2012,44.22,0.010228524
15/11/2012,43.77,-0.00546823
14/11/2012,44.01,-0.033075641
13/11/2012,45.49,-0.002415195
12/11/2012,45.6,0.009474567
09/11/2012,45.17,-0.007498932
08/11/2012,45.51,-0.014398154
07/11/2012,46.17,-0.028609979
06/11/2012,47.51,0.047412457
05/11/2012,45.31,-0.00944543
02/11/2012,45.74,-0.01411073
01/11/2012,46.39,0.027758312
31/10/2012,45.12,0.007117468
26/10/2012,44.8,0.007393335
25/10/2012,44.47,-0.002694814
24/10/2012,44.59,-0.027211058
23/10/2012,45.82,0.05357023
22/10/2012,43.43,-0.002070156
19/10/2012,43.52,-0.018666602
18/10/2012,44.34,-0.0029276
17/10/2012,44.47,0.00880864
16/10/2012,44.08,0.027600648
15/10/2012,42.88,0.013854865
12/10/2012,42.29,-0.002597711
11/10/2012,42.4,0.010431579
10/10/2012,41.96,-0.002618114
09/10/2012,42.07,-0.00118779
08/10/2012,42.12,0.002376992
05/10/2012,42.02,0.011007529
04/10/2012,41.56,0.05820635
03/10/2012,39.21,0.007680529
02/10/2012,38.91,-0.009718747
01/10/2012,39.29,0.005871108
28/09/2012,39.06,-0.000255984
27/09/2012,39.07,0.009515309
