Date,Close,LO
23/10/2012,115.78,-0.01576725
22/10/2012,117.62,0.002894851
19/10/2012,117.28,-0.007560028
18/10/2012,118.17,-0.004053717
17/10/2012,118.65,0.010846645
16/10/2012,117.37,0.016493802
15/10/2012,115.45,0.014922394
12/10/2012,113.74,-0.000175824
11/10/2012,113.76,-0.009710088
10/10/2012,114.87,-0.012372005
09/10/2012,116.3,0.000860215
08/10/2012,116.2,-0.018248993
05/10/2012,118.34,0.010362787
04/10/2012,117.12,-0.006383272
03/10/2012,117.87,0.011605216
02/10/2012,116.51,0.009659411
01/10/2012,115.39,-0.009144301
28/09/2012,116.45,-0.017957165
27/09/2012,118.56,-0.001348618
26/09/2012,118.72,0.005913678
25/09/2012,118.02,-0.007849135
24/09/2012,118.95,-0.028917877
21/09/2012,122.44,0.013071007
20/09/2012,120.85,0.018119312
19/09/2012,118.68,-0.003868477
18/09/2012,119.14,0.017356402
17/09/2012,117.09,0.016099526
14/09/2012,115.22,-0.011562818
13/09/2012,116.56,0.00688708
12/09/2012,115.76,-0.044271463
11/09/2012,121,-0.020936322
10/09/2012,123.56,-0.000647249
07/09/2012,123.64,-0.003632992
06/09/2012,124.09,-0.005785472
05/09/2012,124.81,-0.014081938
04/09/2012,126.58,0.008489083
31/08/2012,125.51,-0.00793592
30/08/2012,126.51,-0.000553163
29/08/2012,126.58,-0.02504324
28/08/2012,129.79,0.012170221
27/08/2012,128.22,-0.001247077
24/08/2012,128.38,0.002730004
23/08/2012,128.03,-0.001092896
22/08/2012,128.17,0.002265184
21/08/2012,127.88,-0.016903558
20/08/2012,130.06,-0.011771136
17/08/2012,131.6,0.019954615
16/08/2012,129,0.031898747
15/08/2012,124.95,0.00088074
14/08/2012,124.84,0.00168357
13/08/2012,124.63,0.006681988
10/08/2012,123.8,0.002993166
09/08/2012,123.43,0.002433486
08/08/2012,123.13,0.003172411
07/08/2012,122.74,-0.026372328
06/08/2012,126.02,-0.003880732
03/08/2012,126.51,0.008573522
02/08/2012,125.43,-0.01173034
01/08/2012,126.91,-0.013539632
31/07/2012,128.64,0.007725662
30/07/2012,127.65,0.001568013
27/07/2012,127.45,0.003300852
26/07/2012,127.03,-0.013759892
25/07/2012,128.79,-0.048941747
24/07/2012,135.25,-0.007660051
23/07/2012,136.29,-0.010074549
20/07/2012,137.67,-0.003335754
19/07/2012,138.13,-0.010872412
18/07/2012,139.64,0.006249796
17/07/2012,138.77,-0.002231421
16/07/2012,139.08,0.003024414
13/07/2012,138.66,0.011022592
12/07/2012,137.14,-0.004292945
11/07/2012,137.73,0.012566834
10/07/2012,136.01,0.002060794
09/07/2012,135.73,-0.002354847
06/07/2012,136.05,0.004936826
05/07/2012,135.38,-0.011311175
03/07/2012,136.92,0.010794245
02/07/2012,135.45,0.026179506
29/06/2012,131.95,0.002808031
28/06/2012,131.58,0.009468611
27/06/2012,130.34,0.016554876
26/06/2012,128.2,-0.004047958
25/06/2012,128.72,-0.005268879
22/06/2012,129.4,0.004337058
21/06/2012,128.84,0.00607242
20/06/2012,128.06,0.0009375
19/06/2012,127.94,-0.003277412
18/06/2012,128.36,0.009314042
15/06/2012,127.17,0.016731152
14/06/2012,125.06,0.014011019
13/06/2012,123.32,0.003004834
12/06/2012,122.95,-0.001056782
11/06/2012,123.08,-0.000649773
08/06/2012,123.16,0.006026568
07/06/2012,122.42,0.010345769
06/06/2012,121.16,0.008454257
05/06/2012,120.14,-0.00166334
04/06/2012,120.34,0.002996008
01/06/2012,119.98,-0.029725483
31/05/2012,123.6,-0.003311662
30/05/2012,124.01,-0.006109835
29/05/2012,124.77,-0.000560875
