Date,Close,ABC
28/11/2011,36.44,0.012703844
25/11/2011,35.98,-0.01078103
23/11/2011,36.37,-0.007123318
22/11/2011,36.63,-0.002453989
21/11/2011,36.72,-0.015135424
18/11/2011,37.28,-0.006417134
17/11/2011,37.52,-0.014815086
16/11/2011,38.08,-0.032806765
15/11/2011,39.35,0.004074363
14/11/2011,39.19,-0.012173622
11/11/2011,39.67,0.023980741
10/11/2011,38.73,0.012993946
09/11/2011,38.23,-0.034703392
08/11/2011,39.58,-0.003530899
07/11/2011,39.72,0.012668018
04/11/2011,39.22,-0.017690631
03/11/2011,39.92,0.00125329
02/11/2011,39.87,-0.004254793
01/11/2011,40.04,-0.018803127
31/10/2011,40.8,-0.030890487
28/10/2011,42.08,0.002379254
27/10/2011,41.98,0.026063251
26/10/2011,40.9,0.032300945
25/10/2011,39.6,-0.026169718
24/10/2011,40.65,0.023395791
21/10/2011,39.71,0.024472289
20/10/2011,38.75,0.014557055
19/10/2011,38.19,-0.004441549
18/10/2011,38.36,0.012328025
17/10/2011,37.89,-0.007624593
14/10/2011,38.18,0.006305854
13/10/2011,37.94,0.008470141
12/10/2011,37.62,0.016347677
11/10/2011,37.01,-0.001889594
10/10/2011,37.08,0.035688663
07/10/2011,35.78,-0.008903787
06/10/2011,36.1,-0.007726308
05/10/2011,36.38,0.01272493
04/10/2011,35.92,0.005023734
03/10/2011,35.74,-0.041918204
30/09/2011,37.27,-0.012001744
29/09/2011,37.72,-0.023061819
28/09/2011,38.6,-0.014403541
27/09/2011,39.16,0.006404531
26/09/2011,38.91,0.030000946
23/09/2011,37.76,-0.006335818
22/09/2011,38,-0.009689745
21/09/2011,38.37,-0.033823363
20/09/2011,39.69,0.007079676
19/09/2011,39.41,0.002540652
16/09/2011,39.31,0.018744932
15/09/2011,38.58,-0.01517714
14/09/2011,39.17,0.016733561
13/09/2011,38.52,0.011488377
12/09/2011,38.08,-0.00836825
09/09/2011,38.4,-0.034300778
08/09/2011,39.74,-0.005770936
07/09/2011,39.97,0.022774264
06/09/2011,39.07,0.006676964
02/09/2011,38.81,-0.017116269
01/09/2011,39.48,-0.002529726
31/08/2011,39.58,0.007863072
30/08/2011,39.27,0.001019108
29/08/2011,39.23,0.019303134
26/08/2011,38.48,0.023666632
25/08/2011,37.58,-0.016101707
24/08/2011,38.19,-0.001831263
23/08/2011,38.26,0.023001675
22/08/2011,37.39,-0.004003742
19/08/2011,37.54,-0.003987776
18/08/2011,37.69,-0.026186361
17/08/2011,38.69,0.004922927
16/08/2011,38.5,-0.010078907
15/08/2011,38.89,0.015287252
12/08/2011,38.3,0.022710245
11/08/2011,37.44,0.060557851
10/08/2011,35.24,-0.038685776
09/08/2011,36.63,0.056147218
08/08/2011,34.63,-0.061049189
05/08/2011,36.81,0.015054342
04/08/2011,36.26,-0.051072641
03/08/2011,38.16,0.011332313
02/08/2011,37.73,0
01/08/2011,37.73,-0.015255425
29/07/2011,38.31,-0.010645304
28/07/2011,38.72,-0.007461761
27/07/2011,39.01,-0.023309898
26/07/2011,39.93,-0.010463474
25/07/2011,40.35,-0.004204285
22/07/2011,40.52,0.031589491
21/07/2011,39.26,-0.061493262
20/07/2011,41.75,-0.002392346
19/07/2011,41.85,0.015653541
18/07/2011,41.2,-0.018993238
15/07/2011,41.99,-0.005462548
14/07/2011,42.22,-0.002365745
13/07/2011,42.32,0.000945627
12/07/2011,42.28,-0.000709304
11/07/2011,42.31,-0.008003809
08/07/2011,42.65,-0.009334957
07/07/2011,43.05,-0.000928721
06/07/2011,43.09,0.018976791
05/07/2011,42.28,0.003791474
01/07/2011,42.12,0.017241806
30/06/2011,41.4,0.007516098
29/06/2011,41.09,-0.007516098
28/06/2011,41.4,0.018282045
27/06/2011,40.65,0.012625493
24/06/2011,40.14,-0.028731258
23/06/2011,41.31,0.001938455
22/06/2011,41.23,-0.008453136
21/06/2011,41.58,0.004579977
20/06/2011,41.39,0.009467239
17/06/2011,41,-0.001462345
16/06/2011,41.06,0.000487211
15/06/2011,41.04,-0.004861458
14/06/2011,41.24,0.010726578
13/06/2011,40.8,-0.00781254
10/06/2011,41.12,-0.010162197
09/06/2011,41.54,0.013816727
08/06/2011,40.97,0.00146556
07/06/2011,40.91,0.011307888
06/06/2011,40.45,0.002475249
03/06/2011,40.35,-0.009864445
02/06/2011,40.75,0.000982077
01/06/2011,40.71,-0.012449813
31/05/2011,41.22,0.003889164
27/05/2011,41.06,-0.008970844
26/05/2011,41.43,-0.002169983
25/05/2011,41.52,0.014800707
24/05/2011,40.91,-0.01069789
23/05/2011,41.35,-0.005787332
20/05/2011,41.59,-0.005754032
19/05/2011,41.83,-0.000239034
18/05/2011,41.84,-0.004768726
17/05/2011,42.04,-0.005456069
16/05/2011,42.27,0.005456069
13/05/2011,42.04,-0.009469768
12/05/2011,42.44,0.005434154
11/05/2011,42.21,-0.002366305
10/05/2011,42.31,0.002129422
09/05/2011,42.22,0.017923768
06/05/2011,41.47,0.010666768
05/05/2011,41.03,0.006602298
04/05/2011,40.76,-0.009522719
03/05/2011,41.15,-0.000485909
02/05/2011,41.17,0.012957033
29/04/2011,40.64,-0.008819263
28/04/2011,41,-0.024811582
27/04/2011,42.03,0.022862264
26/04/2011,41.08,0.002925404
25/04/2011,40.96,0.0100602
21/04/2011,40.55,0.001480751
20/04/2011,40.49,0.017942171
19/04/2011,39.77,0.006812187
18/04/2011,39.5,-0.002275889
15/04/2011,39.59,-0.001262148
14/04/2011,39.64,-0.000252239
13/04/2011,39.65,0.00126183
