Date,Close,SEE
12/12/2011,17.65,-0.027934777
09/12/2011,18.15,0.013869848
08/12/2011,17.9,-0.044791758
07/12/2011,18.72,0.023238009
06/12/2011,18.29,0.012654914
05/12/2011,18.06,0.013378126
02/12/2011,17.82,0.010719426
01/12/2011,17.63,0.000567376
30/11/2011,17.62,0.052429013
29/11/2011,16.72,-0.007151401
28/11/2011,16.84,0.031978592
25/11/2011,16.31,-0.004892976
23/11/2011,16.39,-0.025897262
22/11/2011,16.82,0.012563731
21/11/2011,16.61,-0.016124566
18/11/2011,16.88,0.001778832
17/11/2011,16.85,-0.033268315
16/11/2011,17.42,-0.020455259
15/11/2011,17.78,0.001125493
14/11/2011,17.76,-0.021721823
11/11/2011,18.15,0.030203638
10/11/2011,17.61,0.006266042
09/11/2011,17.5,-0.041416104
08/11/2011,18.24,0.023295563
07/11/2011,17.82,0.006756782
04/11/2011,17.7,-0.005633818
03/11/2011,17.8,0.002812941
02/11/2011,17.75,0.009623624
01/11/2011,17.58,-0.012436565
31/10/2011,17.8,-0.030431117
28/10/2011,18.35,-0.004892644
27/10/2011,18.44,0.053464848
26/10/2011,17.48,-0.007409552
25/10/2011,17.61,-0.01633379
24/10/2011,17.9,0.031784741
21/10/2011,17.34,0.018626848
20/10/2011,17.02,0.007075501
19/10/2011,16.9,-0.019338429
18/10/2011,17.23,0.021708098
17/10/2011,16.86,-0.038399133
14/10/2011,17.52,0.000570939
13/10/2011,17.51,-0.00909614
12/10/2011,17.67,0.031620916
11/10/2011,17.12,0.009979537
10/10/2011,16.95,0.02872729
07/10/2011,16.47,-0.025773078
06/10/2011,16.9,0.023953241
05/10/2011,16.5,0.006079046
04/10/2011,16.4,0.0493696
03/10/2011,15.61,-0.067496985
30/09/2011,16.7,-0.043930929
29/09/2011,17.45,0.014430265
28/09/2011,17.2,-0.049896971
27/09/2011,18.08,0.011123585
26/09/2011,17.88,0.026063798
23/09/2011,17.42,0.012128361
22/09/2011,17.21,-0.049868689
21/09/2011,18.09,-0.01154176
20/09/2011,18.3,-0.027487583
19/09/2011,18.81,-0.01686914
16/09/2011,19.13,0.003665885
15/09/2011,19.06,0.042331528
14/09/2011,18.27,0.020459658
13/09/2011,17.9,0.021457627
12/09/2011,17.52,0.004003437
09/09/2011,17.45,-0.031587511
08/09/2011,18.01,-0.008844723
07/09/2011,18.17,0.032441324
06/09/2011,17.59,-0.009054957
02/09/2011,17.75,-0.026683073
01/09/2011,18.23,-0.010368442
31/08/2011,18.42,0.012015437
30/08/2011,18.2,0.043802623
29/08/2011,17.42,0.023229848
26/08/2011,17.02,-0.006442189
25/08/2011,17.13,-0.037242918
24/08/2011,17.78,0.017589106
23/08/2011,17.47,0.01557574
22/08/2011,17.2,-0.009835196
19/08/2011,17.37,-0.016557615
18/08/2011,17.66,-0.064680074
17/08/2011,18.84,-0.00159109
16/08/2011,18.87,-0.005812434
15/08/2011,18.98,0.027779564
12/08/2011,18.46,0.002169198
11/08/2011,18.42,0.028077815
10/08/2011,17.91,-0.062232682
09/08/2011,19.06,0.059444835
08/08/2011,17.96,-0.088402391
05/08/2011,19.62,-0.005590866
04/08/2011,19.73,-0.044606007
03/08/2011,20.63,0.005346307
02/08/2011,20.52,-0.039183226
01/08/2011,21.34,-0.008864066
29/07/2011,21.53,0.003722666
28/07/2011,21.45,-0.016185324
27/07/2011,21.8,-0.029380644
26/07/2011,22.45,-0.012395024
25/07/2011,22.73,-0.013980132
22/07/2011,23.05,0.001736865
21/07/2011,23.01,0.032688423
20/07/2011,22.27,-0.005820478
19/07/2011,22.4,-0.007117468
18/07/2011,22.56,-0.021053409
15/07/2011,23.04,-0.002167788
14/07/2011,23.09,-0.018876579
13/07/2011,23.53,-0.010568689
12/07/2011,23.78,0.020391531
11/07/2011,23.3,-0.009822842
08/07/2011,23.53,-0.013508015
07/07/2011,23.85,0.003780723
06/07/2011,23.76,0.006333143
05/07/2011,23.61,-0.010952089
01/07/2011,23.87,0.003357116
30/06/2011,23.79,0.019096697
29/06/2011,23.34,-0.002139954
28/06/2011,23.39,0.02423312
27/06/2011,22.83,0.014115806
24/06/2011,22.51,0.000444346
23/06/2011,22.5,-0.013245227
22/06/2011,22.8,-0.006993035
21/06/2011,22.96,0.002616661
20/06/2011,22.9,-0.003487362
17/06/2011,22.98,0.003487362
16/06/2011,22.9,-0.006528859
15/06/2011,23.05,-0.025697345
14/06/2011,23.65,0.009772757
13/06/2011,23.42,0
10/06/2011,23.42,-0.021542544
09/06/2011,23.93,0.037033387
08/06/2011,23.06,0.004781578
07/06/2011,22.95,0.020691911
06/06/2011,22.48,0.026596113
03/06/2011,21.89,-0.023031047
02/06/2011,22.4,-0.062303883
01/06/2011,23.84,-0.074347637
31/05/2011,25.68,0.012933749
27/05/2011,25.35,0.003160809
26/05/2011,25.27,0.00237718
